Sector: Agriculture,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Tata Consumer Products Ltd.,TATACONSUM,Tea/Coffee,115341.28,NSE,1167.20,-1.95,2,2025-09,1994.01,115595.07,2025-09,18796.59,1450.31,2025-09,84.66,5.7,5.68,2,2025-03,0.09,7.66,10.12,"TATACONSUM,"
E.I.D. - Parry (India) Ltd.,EIDPARRY,Sugar,18227.24,NSE,1024.60,-1.55,2,2025-03,2121.01,16657.24,2025-06,33585.5,2049.28,2025-06,17.64,2.94,2.17,2,2025-03,0.27,23.7,30.76,"EIDPARRY,"
CCL Products (India) Ltd.,CCL,Tea/Coffee,13673.26,NSE,1025.15,5.35,2,2025-09,1593.88,14910.12,2025-09,3776.62,338.22,2025-09,40.43,3.03,6.55,2,2025-03,0.93,17.23,13.15,"CCL,"
Bombay Burmah Trading Corporation Ltd.,BBTC,Agriculture,13270.62,NSE,1901.50,0.03,2,2025-03,1537.61,14265.42,2025-06,18676.49,2082.46,2025-06,11.63,0.88,2.17,2,2025-03,0.27,42.87,46.17,"BBTC,"
Balrampur Chini Mills Ltd.,BALRAMCHIN,Sugar,8742.15,NSE,432.55,-2.89,2,2025-03,2626.19,11364.93,2025-06,5536.05,380.44,2025-06,20.9,-6.15,2.3,2,2025-03,0.7,12.24,11.08,"BALRAMCHIN,"
Triveni Engineering & Industries Ltd.,TRIVENI,Sugar,7889.08,NSE,360.50,0.91,2,2025-09,752.68,8539.74,2025-09,7494.5,253.1,2025-09,30.18,-4.86,2.56,2,2025-03,0.63,7.93,8.68,"TRIVENI,"
Manorama Industries Ltd.,MANORAMA,Solvent  Extraction,7828.39,NSE,1311.10,0.51,2,2025-09,374.98,8136.19,2025-09,1054.87,170.69,2025-09,45.86,,13.91,2,2025-03,1.09,24.78,19.7,"MANORAMA,"
Shree Renuka Sugars Ltd.,RENUKA,Sugar,5925.72,NSE,27.83,-3.74,2,2025-09,6243.1,12097.22,2025-09,9727.4,-743.5,2025-09,0,,-1.83,2,2025-03,-2.25,0,13.61,"RENUKA,"
Kaveri Seed Company Ltd.,KSCL,Agriculture,5174,NSE,1008.40,-3.77,2,2025-09,,5160.97,2025-09,1341.74,302.96,2025-09,17.07,10.28,2.88,2,2025-03,0,20.67,21.77,"KSCL,"
Gujarat Ambuja Exports Ltd.,GAEL,Solvent  Extraction,5066.02,NSE,110.43,1.64,2,2025-09,278.92,5328.1,2025-09,5175.42,206.27,2025-06,21.32,1.88,1.65,2,2025-03,0.07,8.64,11.57,"GAEL,"
Bannari Amman Sugars Ltd.,BANARISUG,Sugar,4454.16,NSE,3601.10,0.03,1,2025-09,18.67,4462.93,2025-09,1905.56,121.92,2025-09,36.53,20.07,2.45,1,2025-03,0.08,6.04,8.68,"BANARISUG,"
Jubilant Agri And Consumer Products Ltd.,JUBLCPL,Agriculture,4104.47,NSE,2645.20,5.00,2,2025-09,23.78,4116.26,2025-09,1750.71,123.76,2025-09,33.16,,9.89,2,2025-03,0.18,27.81,34.93,"JUBLCPL,"
BN Agrochem Ltd.,BNHOLDINGS,Solvent  Extraction,3974.47,BSE,407.95,4.87,2,2025-03,81.85,4049.61,2025-06,502.72,43.74,2025-06,90.87,,9.66,2,2024-03,-0.33,0,-8.53,"BNHOLDINGS,"
M.V.K. Agro Food Product Ltd.,MVKAGRO,Sugar,2913.82,NSE,576.95,4.73,1,2025-03,105.69,2968.45,2025-03,132.98,7.72,2025-03,377.39,,7.25,2,2025-03,1.18,10.96,9.85,"MVKAGRO,"
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,Sugar,2699.06,NSE,21.13,-0.61,2,2025-03,3574.64,6200.14,2025-06,5437.5,-133.13,2025-06,0,0,0.67,2,2025-03,0.85,-0.36,1.14,"BAJAJHIND,"
Dalmia Bharat Sugar And Industries Ltd.,DALMIASUG,Sugar,2567.39,NSE,318.40,-3.15,1,2025-09,547.25,2451.66,2025-09,3789.57,338.34,2025-09,7.59,0.82,0.8,2,2024-03,0.49,9.67,11,"DALMIASUG,"
Apcotex Industries Ltd.,APCOTEXIND,Rubber  Products,2052.28,NSE,394.05,0.37,1,2025-09,131.01,2143.09,2025-09,1417.12,72.76,2025-09,28.2,1.06,3.54,1,2025-03,0.33,10.06,12.97,"APCOTEXIND,"
Pix Transmissions Ltd.,PIXTRANS,Rubber  Products,2014.42,NSE,1479.50,2.34,2,2025-03,35.38,1980.8,2025-06,582.03,113.29,2025-06,17.78,0.59,3.23,2,2025-03,0.06,20.73,26.87,"PIXTRANS,"
Venky'S (India) Ltd.,VENKEYS,Agriculture,1962.08,NSE,1391.60,-8.58,1,2025-09,185.1,1946.55,2025-09,3391.47,22.98,2025-09,85.38,1.92,1.35,1,2025-03,0.11,8.2,11.27,"VENKEYS,"
Tinna Rubber And Infrastructure Ltd.,TINNARUBR,Rubber  Products,1657.27,NSE,920.85,-0.97,2,2025-03,133.91,1787.33,2025-06,499.61,39.83,2025-06,37.92,0.58,6.21,2,2025-03,0.76,31.77,28.49,"TINNARUBR,"
