Sector: Alcohol,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
United Spirits Ltd.,UNITDSPR,Breweries & Distilleries,103912.98,NSE,1429.10,0.89,2,2025-09,,102531.98,2025-09,27860,1648,2025-09,63.48,2.99,12.36,2,2025-03,0,20.78,29.17,"UNITDSPR,"
United Breweries Ltd.,UBL,Breweries & Distilleries,47265.06,NSE,1784.60,-1.16,2,2025-09,637.19,47608.17,2025-09,17971.79,366.65,2025-09,129.01,86.59,10.88,2,2025-03,0.13,10.37,13.44,"UBL,"
Radico Khaitan Ltd.,RADICO,Breweries & Distilleries,44306.1,NSE,3310.90,3.92,2,2025-09,480.32,44732.52,2025-09,19296.57,455.3,2025-09,96.81,14.34,14.88,2,2025-03,0.36,13.34,15.14,"RADICO,"
Allied Blenders And Distillers Ltd.,ABDL,Breweries & Distilleries,17955.99,NSE,642.90,0.12,2,2025-09,1049.78,18848.65,2025-09,8006.06,254.84,2025-09,69.87,,11.52,2,2025-03,0.58,19.99,21.31,"ABDL,"
Tilaknagar Industries Ltd.,TI,Breweries & Distilleries,10429.47,NSE,501.10,2.29,2,2025-03,42.43,10369.07,2025-06,3373.72,278.32,2025-06,37.51,1.41,6.9,2,2025-03,0.05,30.27,28.5,"TI,"
Piccadily Agro Industries Ltd.,PICCADIL,Breweries & Distilleries,6913.55,NSE,700.20,5.06,2,2025-09,324.36,7131.92,2025-09,939.05,108.86,2025-09,62.97,1.69,7.2,2,2025-03,0.45,20.17,22.68,"PICCADIL,"
TruAlt Bioenergy Ltd.,TRUALT,Breweries & Distilleries,3617.9,NSE,423.20,2.16,2,2025-03,1549.68,5017.8,,,,2025-03,24.67,,2.37,2,2025-03,2.02,33.08,14.2,"TRUALT,"
Globus Spirits Ltd.,GLOBUSSPR,Breweries & Distilleries,3295.04,NSE,1139.80,-1.06,2,2025-03,518.92,3743.84,2025-06,3584.88,24.72,2025-06,129.97,-9.22,3.28,2,2025-03,0.53,2.25,5.71,"GLOBUSSPR,"
GM Breweries Ltd.,GMBREW,Breweries & Distilleries,2814.97,NSE,1232.70,0.69,1,2025-09,,2706.57,2025-09,2663.18,143.18,2025-09,19.66,1.43,2.86,1,2025-03,0,14.66,18.23,"GMBREW,"
Som Distilleries And Breweries Ltd.,SDBL,Breweries & Distilleries,2647.62,NSE,127.24,0.61,2,2025-03,170.92,2798.55,2025-06,2702.57,106.01,2025-06,25.53,0.54,3.35,2,2025-03,0.23,16.36,18.52,"SDBL,"
Associated Alcohols & Breweries Ltd.,ASALCBR,Breweries & Distilleries,2220.19,NSE,1167.70,-0.22,2,2025-03,98.09,2302.94,2025-06,1111.27,87.37,2025-06,25.41,,3.98,2,2025-03,0.2,29.15,31.55,"ASALCBR,"
Sula Vineyards Ltd.,SULA,Breweries & Distilleries,2106.53,NSE,249.55,0.06,2,2025-03,297.11,2389.5,2025-06,609.23,57.51,2025-06,36.63,,3.61,2,2025-03,0.51,12.42,13.62,"SULA,"
