Sector: Capital Goods,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Hindustan Aeronautics Ltd.,HAL,Defence,309438.85,NSE,4626.60,0.72,2,2025-03,50.28,271306.88,2025-06,31452.46,8265.78,2025-06,37.23,1.52,8.51,2,2025-03,0,26.09,33.91,"HAL,"
Bharat Electronics Ltd.,BEL,Defence,302807.59,NSE,414.25,1.33,2,2025-09,,294691.07,2025-09,25152.11,5661.37,2025-09,53.16,2.23,14.04,2,2025-03,0,29.13,39.18,"BEL,"
CG Power and Industrial Solutions Ltd.,CGPOWER,Electric Equipment,115414.95,NSE,733.25,0.08,2,2025-09,0.3,114811.61,2025-09,11069.29,1063.42,2025-09,108.02,3.34,15.47,2,2025-03,0,28.59,39.9,"CGPOWER,"
Siemens Energy India Ltd.,ENRIN,Electric Equipment,114982.41,NSE,3228.20,1.34,1,2025-03,,114915.61,,,,-0,,,,1,-0,,,,"ENRIN,"
Siemens Ltd.,SIEMENS,Electric Equipment,108082.5,NSE,3033.40,-1.62,2,2025-03,,101989.3,2025-06,18654.1,2034.6,2025-06,44.12,2.22,8.48,2,2024-09,0,19.11,26.29,"SIEMENS,"
ABB India Ltd.,ABB,Electric Equipment,106246.62,NSE,5016.50,-4.05,2,2024-12,0,100738.8,2012-12,7610.48,140.94,2012-12,753.84,18.96,,1,2024-12,0,28.8,38.86,"ABB,"
Waaree Energies Ltd.,WAAREEENER,Electric Equipment,94307.39,NSE,3276.20,-2.75,2,2025-09,2390.42,88913.82,2025-09,17952.69,2802.45,2025-09,34.94,,8.21,2,2025-03,0.1,28.65,36.65,"WAAREEENER,"
Hitachi Energy India Ltd.,POWERINDIA,Electric Equipment,93063.97,NSE,20863.00,3.25,1,2025-09,,88405.07,2025-09,6815.4,717.23,2025-09,129.75,,20.31,1,2025-03,0,13.78,19.94,"POWERINDIA,"
Bharat Heavy Electricals Ltd.,BHEL,Engineering - Industrial Equipments,91822.01,NSE,263.85,1.46,2,2025-09,10748.29,94416.17,2025-09,29269.17,502.33,2025-09,164.4,8.75,3.76,2,2025-03,0.36,2.17,4.95,"BHEL,"
Havells India Ltd.,HAVELLS,Electric Equipment,90902.06,NSE,1448.50,0.43,2,2025-09,,89440.41,2025-09,21667.22,1455.95,2025-09,62.14,4.17,10.48,2,2025-03,0,18.67,26.16,"HAVELLS,"
GE Vernova T&D India Ltd.,GVT&D,Electric Equipment,78761.19,NSE,3073.20,2.42,1,2025-09,,77872.51,2025-09,5094.78,919.85,2025-09,85.62,2.5,37.75,1,2025-03,0,40.34,56.11,"GVT&D,"
Suzlon Energy Ltd.,SUZLON,Electric Equipment,78680.63,NSE,57.38,-3.74,2,2025-09,320.38,78299.75,2025-09,13767.27,3172.5,2025-09,24.8,1.08,10.01,2,2025-03,0.05,41.97,32.66,"SUZLON,"
Bharat Dynamics Ltd.,BDL,Defence,53034.26,NSE,1447.70,0.67,1,2025-03,4.48,48848.38,2025-06,3401.81,560.78,2025-06,94.57,171.95,13.22,1,2025-03,0,14.44,19.76,"BDL,"
Thermax Ltd.,THERMAX,Engineering - Industrial Equipments,38025.75,NSE,3190.90,-2.00,2,2025-03,1693.34,38564.55,2025-06,10354.46,668.73,2025-06,56.67,2.32,7.48,2,2025-03,0.34,13.38,16.25,"THERMAX,"
Apar Industries Ltd.,APARINDS,Electric Equipment,33286.08,NSE,8280.50,-1.47,2,2025-09,590.92,33510.42,2025-09,20745.76,939.66,2025-09,35.43,0.82,6.86,2,2025-03,0.1,19.61,33.47,"APARINDS,"
Inox Wind Ltd.,INOXWIND,Electric Equipment,25854.44,NSE,149.45,-0.41,2,2025-03,1466.35,27107.91,2025-06,3744.58,490.17,2025-06,50.97,1.73,4.14,2,2025-03,0.3,13.2,12.33,"INOXWIND,"
Schneider Electric Infrastructure Ltd.,SCHNEIDER,Electric Equipment,20604.79,NSE,861.95,-1.60,1,2025-09,432.58,20760.23,2025-09,2715.86,258.7,2025-09,79.65,1.35,31.3,1,2025-03,0.78,64.45,47.04,"SCHNEIDER,"
Jyoti CNC Automation Ltd.,JYOTICNC,Engineering - Industrial Equipments,20176.98,NSE,886.15,-1.04,2,2025-03,496.84,20548.51,2025-06,1866.03,336.51,2025-06,59.96,,11.48,2,2025-03,0.29,20.72,23.88,"JYOTICNC,"
BEML Ltd.,BEML,Construction Vehicles,16708.61,NSE,2006.70,1.00,2,2025-09,650.9,17322.53,2025-09,4001.38,295.88,2025-09,56.47,1.58,5.97,2,2025-03,0.08,10.53,16,"BEML,"
Triveni Turbine Ltd.,TRITURBINE,Engineering - Industrial Equipments,16375.6,NSE,515.85,-1.98,2,2025-03,0,16049.14,2025-06,1913.8,342.6,2025-06,47.92,2,12.82,2,2025-03,0,33.02,45.42,"TRITURBINE,"
V-Guard Industries Ltd.,VGUARD,Electric Equipment,15754.22,NSE,360.95,-2.23,2,2025-09,7.49,15706.63,2025-09,5613.73,290.49,2025-09,54.23,4.98,7.19,2,2025-03,0.01,16.38,20.81,"VGUARD,"
Elgi Equipments Ltd.,ELGIEQUIP,Compressors / Pumps,15154.59,NSE,479.15,-0.88,2,2025-03,483.1,14763.19,2025-06,3576.05,354.54,2025-06,41.76,0.8,7.8,2,2025-03,0.26,20.2,22.86,"ELGIEQUIP,"
Data Patterns (India) Ltd.,DATAPATTNS,Defence,14643.45,NSE,2616.20,0.09,1,2025-03,0,14517.05,2025-06,703.6,214.52,2025-06,68.26,,9.55,1,2025-03,0,15.66,21.71,"DATAPATTNS,"
Kirloskar Oil Engines Ltd.,KIRLOSENG,Engineering - Industrial Equipments,14011.54,NSE,964.35,-2.45,2,2025-03,5760.83,18775.79,2025-06,6470.71,453.51,2025-06,29.7,1.36,4.38,2,2025-03,1.88,16.62,14.56,"KIRLOSENG,"
Kirloskar Brothers Ltd.,KIRLOSBROS,Compressors / Pumps,13621.81,NSE,1715.20,-4.85,2,2025-09,163.7,13449.01,2025-09,4432.2,375.2,2025-09,34.75,0.82,6.17,2,2025-03,0.06,21.17,28.5,"KIRLOSBROS,"
KSB Ltd.,KSB,Compressors / Pumps,13186.08,NSE,757.00,-1.57,2,2025-06,,12869.38,2025-06,2605,242.2,2025-06,51.35,2.34,8.59,2,2024-12,0,17.76,23.92,"KSB,"
Tega Industries Ltd.,TEGA,Engineering - Industrial Equipments,12678.67,NSE,1906.20,-0.19,2,2025-03,261.93,12819.44,2025-06,1654.77,194.08,2025-06,63.8,,8.86,2,2025-03,0.19,15.46,18.56,"TEGA,"
Zen Technologies Ltd.,ZENTEC,Defence,12272.72,NSE,1358.80,-1.34,2,2025-09,0.49,11440.48,2025-09,808.97,272.03,2025-09,49.5,1.35,6.83,2,2025-03,0.03,27.92,38.61,"ZENTEC,"
TD Power Systems Ltd.,TDPOWERSYS,Electric Equipment,12195.5,NSE,780.60,-2.16,2,2025-09,35.73,12038.37,2025-09,1522.9,208.22,2025-09,58.57,0.99,12.69,2,2025-03,0.01,22.32,30.34,"TDPOWERSYS,"
Action Construction Equipment Ltd.,ACE,Construction Vehicles,12176.85,NSE,1022.00,-4.66,2,2025-09,134.41,12277.04,2025-09,3232.42,418.02,2025-09,29.13,0.57,6.83,2,2025-03,0.01,28.79,40.36,"ACE,"
Elecon Engineering Company Ltd.,ELECON,Engineering - Industrial Equipments,12065.98,NSE,537.75,-1.52,2,2025-09,,11754.72,2025-09,2395.16,513.07,2025-09,23.33,0.65,5.38,2,2025-03,0,23.04,30.52,"ELECON,"
Ingersoll-Rand (India) Ltd.,INGERRAND,Compressors / Pumps,11864.04,NSE,3760.10,0.07,1,2025-03,0,11652.37,2025-06,1345.08,264.65,2025-06,44.83,1.73,17.83,1,2025-03,0,45.17,60.81,"INGERRAND,"
Transformers & Rectifiers (India) Ltd.,TARIL,Electric Equipment,11789.01,NSE,391.90,-3.11,2,2025-09,365.75,11934.45,2025-09,2225.2,254.49,2025-06,45.08,0.18,8.94,2,2025-03,0.23,23.96,28.61,"TARIL,"
Graphite India Ltd.,GRAPHITE,Electrodes & Welding Equipment,11294.66,NSE,577.25,-2.35,2,2025-03,172.32,11285.03,2025-06,2497,355,2025-06,31.46,0.53,1.88,2,2025-03,0.03,7.98,10.19,"GRAPHITE,"
Engineers India Ltd.,ENGINERSIN,Engineering,11035.7,NSE,196.44,1.05,2,2025-03,0,9708.8,2025-06,3334.12,485.73,2025-06,19.94,3.08,4.02,2,2025-03,0,19.2,25.84,"ENGINERSIN,"
