Sector: Chemicals,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Asian Paints Ltd.,ASIANPAINT,Paints,251170.74,NSE,2613.80,0.42,2,2025-03,863.75,251252.51,2025-06,33874.44,3499.66,2025-06,69.83,9.01,12.3,2,2025-03,0.04,19.51,26.58,"ASIANPAINT,"
Pidilite Industries Ltd.,PIDILITIND,Chemicals,148153.72,NSE,1454.80,0.83,2,2025-09,141.69,148030.2,2025-09,13817.59,2248.7,2025-09,66.54,5.29,15.51,2,2025-03,0.02,23.21,31.16,"PIDILITIND,"
Solar Industries India Ltd.,SOLARINDS,Chemicals,122833.01,NSE,13573.00,1.47,2,2025-03,939.59,123047.12,2025-06,8009.91,1336.47,2025-06,97.36,2.76,25.92,2,2025-03,0.21,33.49,38.11,"SOLARINDS,"
SRF Ltd.,SRF,Chemicals,85914.29,NSE,2896.80,-0.09,2,2025-09,4526.93,90218.84,2025-09,15263.46,1617.64,2025-09,53.11,12.71,6.48,2,2025-03,0.37,10.4,12.35,"SRF,"
Coromandel International Ltd.,COROMANDEL,Fertilizers,63382.97,NSE,2146.40,-0.17,2,2025-09,883.64,62903.87,2025-09,28620.01,2406.56,2025-09,26.39,2.38,5.2,2,2025-03,0.02,20.07,28.76,"COROMANDEL,"
UPL Ltd.,UPL,Pesticides & Agrochemicals,63155.19,NSE,747.95,1.99,2,2025-09,28562,87565.19,2025-09,47715,2709,2025-09,28.85,-2.75,1.98,2,2025-03,0.81,3.04,8.42,"UPL,"
Berger Paints India Ltd.,BERGEPAINT,Paints,62031.43,NSE,531.05,-2.46,2,2025-09,185.96,61767.56,2025-09,11707.34,1041.75,2025-09,57.54,4.64,9.88,2,2025-03,0.02,20.53,27.46,"BERGEPAINT,"
The Fertilisers And Chemicals Travancore Ltd.,FACT,Fertilizers,57243.22,NSE,882.95,-0.24,2,2025-09,3802.45,58823.25,2025-09,4674.77,103.86,2025-09,551.16,11.89,41.63,2,2025-03,0.94,3.02,11.3,"FACT,"
PI Industries Ltd.,PIIND,Pesticides & Agrochemicals,56990.64,NSE,3758.30,0.22,2,2025-03,111.7,54602.74,2025-06,7809.4,1606.4,2025-06,35.37,1.2,5.4,2,2025-03,0.01,17.58,22.99,"PIIND,"
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals,39717.92,NSE,3614.00,-0.89,2,2025-03,1987.51,41483.49,2025-06,4842,622,2025-06,63.86,3.05,5.38,2,2025-03,0.28,8.31,10.02,"FLUOROCHEM,"
Godrej Industries Ltd.,GODREJIND,Chemicals,36229.91,NSE,1075.10,-0.99,2,2025-03,37851.38,67298.82,2025-06,19869.28,1536.33,2025-06,35.94,3.02,3.36,2,2025-03,3.73,20.5,10.16,"GODREJIND,"
Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals,30593.6,NSE,5969.00,-1.84,2,2025-09,1143.8,31665.25,2025-09,2790.96,444.12,2025-09,68.89,-10.25,8.5,2,2025-03,0.55,11.62,11.76,"NAVINFLUOR,"
Sumitomo Chemical India Ltd.,SUMICHEM,Pesticides & Agrochemicals,23716.91,NSE,475.15,-1.02,2,2025-09,,23674.43,2025-09,3307.93,543.07,2025-09,43.71,2.54,7.42,2,2025-03,0,18.96,25.71,"SUMICHEM,"
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,23482.11,NSE,1720.60,-0.69,2,2025-03,1170.53,24246.08,2025-06,8004.97,607.08,2025-06,38.69,14.49,4.27,2,2025-03,0.22,13.69,17,"DEEPAKNTR,"
Himadri Speciality Chemical Ltd.,HSCL,Carbon Black,22856.14,NSE,452.70,-0.79,2,2025-09,859.77,23064.1,2025-09,4464.62,652.11,2025-09,34.84,1.58,5.51,2,2025-03,0.08,16.62,22.17,"HSCL,"
Tata Chemicals Ltd.,TATACHEM,Chemicals,21860.64,NSE,858.10,-1.69,2,2025-09,6719,28117.64,2025-09,14695,229,2025-09,99.37,-2.13,0.98,2,2025-03,0.29,1.62,3.93,"TATACHEM,"
Bayer CropScience Ltd.,BAYERCROP,Pesticides & Agrochemicals,20652.46,NSE,4591.90,-3.22,1,2025-09,,19986.76,2025-09,5571.3,608.9,2025-09,33.92,-78.88,6.61,1,2025-03,0,19.93,25.42,"BAYERCROP,"
Kansai Nerolac Paints Ltd.,KANSAINER,Paints,19925.8,NSE,246.32,-0.75,2,2025-09,91.2,19749.69,2025-09,7854.75,1113.6,2025-09,17.4,3.37,3.08,2,2025-03,0.02,18.52,24.65,"KANSAINER,"
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,Fertilizers,19259.36,NSE,479.85,-1.00,2,2025-09,85.53,18845.88,2025-09,19477.16,1718.63,2025-09,10.34,1.31,1.96,2,2025-03,0.01,20.62,27.88,"CHAMBLFERT,"
BASF India Ltd.,BASF,Chemicals,19251.94,NSE,4448.60,1.21,2,2025-03,32.08,18463.62,2025-06,15167.64,395.89,2025-06,48.63,,5.11,2,2025-03,0.01,13.98,19.21,"BASF,"
Deepak Fertilisers And Petrochemicals Corporation Ltd.,DEEPAKFERT,Chemicals,18075.43,NSE,1426.40,-0.19,2,2025-09,4236.76,22064.81,2025-09,10910.95,988.83,2025-09,18.36,0.3,2.77,2,2025-03,0.63,16.04,16.22,"DEEPAKFERT,"
Paradeep Phosphates Ltd.,PARADEEP,Fertilizers,18055.47,NSE,173.95,6.19,2,2025-09,5569.15,23475.23,2025-09,18225.2,917.01,2025-09,19.7,,2.71,2,2025-03,1.07,14.46,13.95,"PARADEEP,"
Vinati Organics Ltd.,VINATIORGA,Chemicals,17040.56,NSE,1643.50,-1.62,2,2025-09,,17032.3,2025-09,2262.33,435.81,2025-09,39.1,9.9,5.81,2,2025-03,0.02,15.42,20.22,"VINATIORGA,"
Atul Ltd.,ATUL,Chemicals,16742.2,NSE,5691.00,-1.21,2,2025-09,182.27,16842.44,2025-09,5898.32,554.03,2025-09,30.88,-4.98,2.83,2,2025-03,0.04,9.31,12.86,"ATUL,"
Akzo Nobel India Ltd.,AKZOINDIA,Paints,14867.55,NSE,3262.30,1.40,2,2025-09,,14584.75,2025-09,3902.6,1990.8,2025-09,7.47,0.61,6.6,2,2025-03,0,32.32,43.62,"AKZOINDIA,"
