Sector: Construction Materials,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Ultratech Cement Ltd.,ULTRACEMCO,Cement & Construction Materials,349212.5,NSE,11849.00,-0.51,2,2025-09,24245.6,372170.03,2025-09,81139.03,7429.21,2025-09,47.13,38.32,4.85,2,2025-03,0.33,9.25,11.18,"ULTRACEMCO,"
Grasim Industries Ltd.,GRASIM,Cement & Construction Materials,185373.13,NSE,2724.60,0.91,2,2025-09,202793.31,380059.69,2025-09,159077.77,8774.23,2025-09,42.45,-5.39,1.86,2,2025-03,1.9,8.39,9.24,"GRASIM,"
Ambuja Cements Ltd.,AMBUJACEM,Cement & Construction Materials,138113.14,NSE,558.80,0.07,2,2025-09,332.03,137986.67,2025-09,38680.73,7158.11,2025-09,24.55,1.65,2.46,2,2025-03,0,11.2,12.93,"AMBUJACEM,"
Shree Cement Ltd.,SHREECEM,Cement & Construction Materials,98755.71,NSE,27375.00,-0.27,2,2025-09,1862.53,100188.45,2025-09,20146.65,1722.19,2025-09,57.45,-9.47,4.4,2,2025-03,0.04,5.32,6.81,"SHREECEM,"
JK Cement Ltd.,JKCEMENT,Cement & Construction Materials,43520.18,NSE,5636.00,-1.16,2,2025-09,6377.42,48774.98,2025-09,12883.19,1033.94,2025-09,42.05,4.25,6.71,2,2025-03,0.97,15.23,15.07,"JKCEMENT,"
Dalmia Bharat Ltd.,DALBHARAT,Cement & Construction Materials,38268.92,NSE,2037.50,-0.55,2,2025-09,6621,44773.92,2025-09,14325,1139,2025-09,34.02,1.2,2.16,2,2025-03,0.3,4.14,5.57,"DALBHARAT,"
ACC Ltd.,ACC,Cement & Construction Materials,34594.17,NSE,1840.50,0.44,2,2025-09,,34301.78,2025-09,24012.8,3332.46,2025-09,10.37,0.94,1.74,2,2025-03,0,13.77,18.55,"ACC,"
The Ramco Cements Ltd.,RAMCOCEM,Cement & Construction Materials,24411.37,NSE,1033.50,0.03,2,2025-09,4676.56,28962.61,2025-09,8693.48,368.29,2025-09,65.59,-2.22,3.23,2,2025-03,0.63,3.65,6.43,"RAMCOCEM,"
Asahi India Glass Ltd.,ASAHIINDIA,Glass,23785.98,NSE,934.80,1.50,2,2025-09,2694.86,25537.34,2025-09,4684.11,309.73,2025-09,76.6,4.31,6.43,2,2025-03,0.95,14.63,13.59,"ASAHIINDIA,"
Kajaria Ceramics Ltd.,KAJARIACER,Ceramics/Marble/Granite/Sanitaryware,17918.13,NSE,1125.00,-1.46,2,2025-09,199.51,17570.42,2025-09,4674.31,392.68,2025-09,49.47,17.12,6.12,2,2025-03,0.06,13.08,17.67,"KAJARIACER,"
JSW Cement Ltd.,JSWCEMENT,Cement & Construction Materials,17389.72,NSE,127.67,-0.57,2,2025-09,4186.78,20556.56,,,,2025-03,0,,2.96,2,2025-03,2.8,-7.16,4.83,"JSWCEMENT,"
Century Plyboards (India) Ltd.,CENTURYPLY,Wood & Wood Products,16647.42,NSE,748.35,-1.09,2,2025-03,1473.72,18072,2025-06,4691.78,204.91,2025-06,82.11,15.7,6.88,2,2025-03,0.62,8.13,10.23,"CENTURYPLY,"
Nuvoco Vistas Corporation Ltd.,NUVOCO,Cement & Construction Materials,13614.79,NSE,381.50,-0.12,2,2025-09,5518.62,18906.39,2025-09,10781.88,273.76,2025-09,49.73,,1.48,2,2025-03,0.42,0.24,4.03,"NUVOCO,"
The India Cements Ltd.,INDIACEM,Cement & Construction Materials,11737.36,NSE,378.45,-2.71,2,2025-09,1335.19,13033.16,2025-09,4279.89,35.31,2025-09,911.29,,2.46,2,2025-03,0.24,-2.48,1.2,"INDIACEM,"
JK Lakshmi Cement Ltd.,JKLAKSHMI,Cement & Construction Materials,10487.72,NSE,844.65,-3.02,2,2025-09,2574.43,12532.63,2025-09,6667.15,478.94,2025-09,22.13,10.2,2.83,2,2025-03,0.71,8.07,10.11,"JKLAKSHMI,"
Star Cement Ltd.,STARCEMENT,Cement & Construction Materials,9987.3,NSE,246.40,0.26,2,2025-09,635.85,10476.86,2025-09,3493.78,301.39,2025-09,33,-3.31,3.32,2,2025-03,0.14,6.04,8.42,"STARCEMENT,"
Birla Corporation Ltd.,BIRLACORPN,Cement & Construction Materials,9355.38,NSE,1217.10,2.28,2,2025-09,3075.82,12346.13,2025-09,9732.31,497.84,2025-09,18.79,-2.23,1.53,2,2025-03,0.56,5.03,7.47,"BIRLACORPN,"
Borosil Renewables Ltd.,BORORENEW,Glass,9209.01,NSE,657.10,-1.17,2,2025-03,250.67,9390.52,2025-06,1454.02,-276.36,2025-06,0,,8.31,2,2025-03,0.28,-9.8,-3.18,"BORORENEW,"
Cera Sanitaryware Ltd.,CERA,Ceramics/Marble/Granite/Sanitaryware,7749.1,NSE,5997.00,-3.03,2,2025-03,18.11,7735.56,2025-06,1947.63,248.3,2025-06,31.5,1.86,5.54,2,2025-03,0.01,18.45,23.24,"CERA,"
Prism Johnson Ltd.,PRSMJOHNSN,Cement & Construction Materials,7147.66,NSE,141.96,1.03,2,2025-09,1324,8209.78,2025-09,7737.72,145.76,2025-09,39.11,0.32,4.89,2,2025-03,1.07,3.15,7.46,"PRSMJOHNSN,"
Greenlam Industries Ltd.,GREENLAM,Laminates/Decoratives,6763.97,NSE,265.20,-0.23,2,2025-09,1050.68,7788.26,2025-09,2765.86,30.07,2025-09,212.97,-49.88,6.09,2,2025-03,0.95,6.2,8.04,"GREENLAM,"
Heidelberg Cement India Ltd.,HEIDELBERG,Cement & Construction Materials,4280.72,NSE,188.43,1.11,1,2025-09,67.4,3958.46,2025-09,2264.48,128.8,2025-09,33.24,-1.98,3.27,1,2025-03,0.05,7.45,11.46,"HEIDELBERG,"
Orient Cement Ltd.,ORIENTCEM,Cement & Construction Materials,4185.22,NSE,203.29,-1.76,1,2025-09,37.02,4202.89,2025-09,2978.34,306.67,2025-09,13.65,13,2.03,1,2025-03,0.02,5.14,9.06,"ORIENTCEM,"
Midwest Ltd.,MIDWESTLTD,Ceramics/Marble/Granite/Sanitaryware,4034.46,NSE,1116.50,2.50,1,2025-03,236.61,4254.53,,,,2025-03,45.6,,5.43,2,2025-03,0.42,26.77,27.81,"MIDWESTLTD,"
Greenply Industries Ltd.,GREENPLY,Wood & Wood Products,3613.63,NSE,289.30,-1.09,2,2025-09,515.87,4123.84,2025-09,2552.61,125.39,2025-09,42.34,34.7,4.27,2,2025-03,0.61,12.24,12.65,"GREENPLY,"
Greenpanel Industries Ltd.,GREENPANEL,Wood & Wood Products,3486.91,NSE,285.25,2.02,1,2025-03,389.81,3771.78,2025-06,1399.01,21.77,2025-06,160.19,4.89,2.58,2,2024-03,0.2,11.36,13.16,"GREENPANEL,"
Stylam Industries Ltd.,STYLAMIND,Laminates/Decoratives,3469.69,NSE,2050.30,0.86,2,2025-03,36.07,3455.08,2025-06,1065.48,121.78,2025-06,28.49,0.82,5.06,2,2025-03,0.05,20.42,27.5,"STYLAMIND,"
Euro Pratik Sales Ltd.,EUROPRATIK,Laminates/Decoratives,3370.05,NSE,329.25,1.48,2,2025-09,5.3,3366.13,,,,2025-03,43.93,,12.62,2,2025-03,0.01,39.22,53.39,"EUROPRATIK,"
Sagar Cements Ltd.,SAGCEM,Cement & Construction Materials,2925.23,NSE,223.35,0.45,2,2025-09,1609.5,4359.89,2025-09,2494.44,-164.18,2025-09,0,,1.74,2,2025-03,0.83,-11.83,-2.92,"SAGCEM,"
Ramco Industries Ltd.,RAMCOIND,Cement & Construction Materials,2885.75,NSE,331.70,0.56,2,2025-09,173.67,2962.19,2025-09,1654.65,110.39,2025-09,12.48,7.26,0.66,2,2025-03,0.06,2.26,3.61,"RAMCOIND,"
Midwest Gold Ltd.,MIDWEST,Ceramics/Marble/Granite/Sanitaryware,2857.61,BSE,2586.55,-2.10,2,2025-09,151.56,2986.01,2025-03,0.78,-6.84,2025-03,0,,33.63,2,2025-03,1.19,-7.71,-2.3,"MIDWEST,"
Pokarna Ltd.,POKARNA,Ceramics/Marble/Granite/Sanitaryware,2775.32,NSE,895.40,0.04,2,2025-03,327.34,2979.35,2025-06,908.53,182.63,2025-06,15.19,0.71,3.44,2,2025-03,0.42,27.35,29.12,"POKARNA,"
KCP Ltd.,KCP,Cement & Construction Materials,2585.51,NSE,200.14,0.91,2,2025-03,539.77,2147.35,2025-06,2514.42,292.06,2025-06,14.49,0.39,1.59,2,2025-03,0.35,17.18,14.44,"KCP,"
