Sector: Consumer Durables,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
LG Electronics India Ltd.,LGEINDIA,Consumer Durables - Domestic Appliances,109261.99,NSE,1609.40,-0.46,1,2025-03,0,105520.52,,,,2025-03,49.59,,18.3,1,2025-03,0,45.23,61.55,"LGEINDIA,"
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables - Electronics,89841.31,NSE,14849.00,-1.53,2,2025-09,846.23,90044.91,2025-09,48436.92,1691.65,2025-09,61.24,1.4,22.11,2,2025-03,0.07,53.8,68.4,"DIXON,"
Voltas Ltd.,VOLTAS,Air Conditioners,43709.87,NSE,1321.50,2.25,2,2025-03,863.3,43894.93,2025-06,14430.36,762.42,2025-06,67.5,7.76,6.54,2,2025-03,0.13,13.53,18.01,"VOLTAS,"
Blue Star Ltd.,BLUESTARCO,Air Conditioners,36045.3,NSE,1752.70,-1.84,2,2025-09,846.41,36780.26,2025-09,12230.94,549.58,2025-09,66,2.07,11.58,2,2025-03,0.07,20.85,27.6,"BLUESTARCO,"
Honeywell Automation India Ltd.,HONAUT,Consumer Durables - Electronics,31897.56,NSE,36070.00,-0.47,1,2025-09,,28385.06,2025-09,4537.8,516.1,2025-09,61.8,48.67,7.61,1,2025-03,0,13.76,18.72,"HONAUT,"
Amber Enterprises India Ltd.,AMBER,Air Conditioners,25435.72,NSE,7227.00,-7.73,2,2025-09,2558.39,27145.75,2025-09,10983.16,265.41,2025-09,114.09,12.69,6.97,2,2025-03,0.87,11.85,14.99,"AMBER,"
Netweb Technologies India Ltd.,NETWEB,IT - Hardware,19474.77,NSE,3431.90,3.97,1,2025-09,7.48,19215.46,2025-09,1353.58,135.23,2025-09,144.01,,33.66,1,2025-03,0,24.35,33.07,"NETWEB,"
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Consumer Durables - Domestic Appliances,17830,NSE,277.15,-0.50,2,2025-09,0.02,17795.91,2025-09,7743.76,482.98,2025-09,37.71,16.47,5.25,2,2025-03,0.09,18.08,22.07,"CROMPTON,"
Whirlpool Of India Ltd.,WHIRLPOOL,Consumer Durables - Domestic Appliances,16987.5,NSE,1340.00,-0.76,2,2025-09,,14380.43,2025-09,7789.11,351.88,2025-09,48.51,-7.69,4.16,2,2025-03,0,9.73,14.01,"WHIRLPOOL,"
PG Electroplast Ltd.,PGEL,Consumer Durables - Domestic Appliances,15027.96,NSE,528.30,-3.96,2,2025-03,301.94,14350.23,2025-06,5052.7,272.71,2025-06,55.44,,5.24,2,2025-03,0.11,15.23,20.03,"PGEL,"
