Sector: Diamond & Jewellery,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Titan Company Ltd.,TITAN,Diamond  &  Jewellery,334588.85,NSE,3769.30,-0.14,2,2025-09,9646,343381.85,2025-09,67904,4128,2025-09,81.03,4.68,26.13,2,2025-03,1.56,31.92,20.99,"TITAN,"
Kalyan Jewellers India Ltd.,KALYANKJIL,Diamond  &  Jewellery,52944.13,NSE,512.80,-0.01,2,2025-09,598.66,52739.1,2025-09,28592.92,930.88,2025-09,56.87,1.5,9.91,2,2025-03,0.69,15.92,17.7,"KALYANKJIL,"
Thangamayil Jewellery Ltd.,THANGAMAYL,Diamond  &  Jewellery,10520.95,NSE,3389.30,10.00,1,2025-09,1064.87,11363.45,2025-09,5781.95,183.81,2025-09,57.24,2.72,9.01,1,2025-03,0.66,14.88,14.43,"THANGAMAYL,"
Bluestone Jewellery And Lifestyle Ltd.,BLUESTONE,Diamond  &  Jewellery,9194.98,NSE,606.25,-6.99,2,2025-09,732.18,9298.5,,,,2025-03,0,,5.51,2,2025-03,1.36,-40.94,-0.84,"BLUESTONE,"
PC Jeweller Ltd.,PCJEWELLER,Diamond  &  Jewellery,8967.93,NSE,12.23,-0.08,2,2025-03,2064.81,10968.96,2025-06,2568.35,583.55,2025-06,15.37,0.32,1.38,2,2025-03,0.36,13.41,6.61,"PCJEWELLER,"
PN Gadgil Jewellers Ltd.,PNGJL,Diamond  &  Jewellery,8866.5,NSE,652.25,0.98,2,2025-03,823.09,9160.9,2025-06,7739.85,252.29,2025-06,35.14,,5.46,2,2025-03,0.53,20.9,20.4,"PNGJL,"
Sky Gold and Diamonds Ltd.,SKYGOLD,Diamond  &  Jewellery,5448.11,NSE,352.00,0.90,2,2025-03,604.85,5877.84,2025-06,3956.23,155.02,2025-06,35.15,,4.71,2,2025-03,0.89,28.93,23.72,"SKYGOLD,"
Senco Gold Ltd.,SENCO,Diamond  &  Jewellery,5437.09,NSE,332.10,1.27,2,2025-03,1763.37,6609.6,2025-06,6807.02,212.69,2025-06,25.56,,2.62,2,2025-03,0.9,9.56,11.14,"SENCO,"
Rajesh Exports Ltd.,RAJESHEXPO,Diamond  &  Jewellery,5311.73,NSE,179.80,0.62,2,2025-03,923.34,4343.84,2025-06,494285.62,73.48,2025-06,72.29,-1.81,0.34,2,2024-03,0.04,2.24,3.23,"RAJESHEXPO,"
Goldiam International Ltd.,GOLDIAM,Diamond  &  Jewellery,4013.66,NSE,354.85,-0.30,2,2025-03,8.61,3840.24,2025-06,844.91,128.68,2025-06,31.19,1.55,4.11,2,2025-03,0.01,17.09,25.11,"GOLDIAM,"
