Sector: Electricals,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Polycab India Ltd.,POLYCAB,Cable,113551.66,NSE,7542.00,-0.65,2,2025-09,127.11,112579.84,2025-09,24595.05,2491.36,2025-09,46.13,2.13,10.72,2,2025-03,0.01,22.93,31.52,"POLYCAB,"
Premier Energies Ltd.,PREMIERENE,Electronics - Components,46692.39,NSE,1029.80,2.55,2,2025-09,1526.76,46876.06,2025-09,6991.76,1194.04,2025-09,39.1,,13.52,2,2025-03,0.68,54.39,41.97,"PREMIERENE,"
Kaynes Technology India Ltd.,KAYNES,Electronics - Components,41750.52,NSE,6225.00,-2.10,2,2025-09,847.82,41545.63,2025-09,3225.34,378.69,2025-09,110.25,,8.92,2,2025-03,0.31,11.02,14.67,"KAYNES,"
KEI Industries Ltd.,KEI,Cable,37665.2,NSE,3936.80,0.23,2,2025-09,177.01,36282.78,2025-09,10698.72,790.61,2025-09,47.64,2.15,6.09,2,2025-03,0.03,15.63,21.47,"KEI,"
RR Kabel Ltd.,RRKABEL,Cable,15584.05,NSE,1376.90,-1.54,2,2025-09,327.23,15894.36,2025-09,8222.35,400.59,2025-09,38.6,,6.66,2,2025-03,0.1,15.67,20.91,"RRKABEL,"
Syrma SGS Technology Ltd.,SYRMA,Electronics - Components,15379.81,NSE,799.50,1.38,2,2025-03,611.17,15695.2,2025-06,3570.28,214.03,2025-06,76.82,,5.5,2,2025-03,0.35,11,12.99,"SYRMA,"
Finolex Cables Ltd.,FINCABLES,Cable,11744.21,NSE,766.55,-0.44,2,2025-03,0.87,11599.61,2025-06,5483.93,516.97,2025-06,18.96,1.53,2.09,2,2025-03,0,13.42,17.7,"FINCABLES,"
Vikram Solar Ltd.,VIKRAMSOLR,Electronics - Components,11647.29,NSE,321.30,2.06,2,2025-09,80.16,9952.8,,,,2025-03,83.3,,3.95,2,2025-03,0.19,16.63,27.29,"VIKRAMSOLR,"
Apollo Micro Systems Ltd.,APOLLO,Electronics - Components,9027.03,NSE,268.45,0.79,2,2025-09,357.08,9316.7,2025-09,669.01,79.91,2025-09,110.24,3.43,8.36,2,2025-03,0.55,10.12,14.05,"APOLLO,"
Diamond Power Infrastructure Ltd.,DIACABS,Cable,8020.5,NSE,152.04,1.96,2,2025-03,459.86,8466.76,2025-06,1193.36,38.04,2025-06,210.81,,-9.34,2,2025-03,-0.52,0,0,"DIACABS,"
Avalon Technologies Ltd.,AVALON,Electronics - Components,6924.32,NSE,1039.80,-2.07,2,2025-09,128.92,6996.79,2025-09,1329.41,87.46,2025-09,79.17,,10.65,2,2025-03,0.23,10.97,14.12,"AVALON,"
Saatvik Green Energy Ltd.,SAATVIKGL,Electronics - Components,6233.23,NSE,490.25,-8.83,2,2025-09,528.57,6077.3,,,,2025-03,29.11,,5.18,2,2025-03,1.37,93.9,55.18,"SAATVIKGL,"
Seshaasai Technologies Ltd.,STYL,Electronics - Components,6035.36,NSE,372.55,2.17,2,2025-03,352.89,6260.41,,,,2025-03,27.15,,4.73,2,2025-03,0.55,41.47,37.71,"STYL,"
Sterlite Technologies Ltd.,STLTECH,Cable,5595.13,NSE,114.78,1.95,2,2025-09,1808,7122.13,2025-09,4366,-4,2025-09,0,,2.72,2,2025-03,0.92,-3.61,3,"STLTECH,"
Websol Energy System Ltd.,WEBELSOLAR,Electronics - Components,5513.63,NSE,1305.70,-2.38,1,2025-09,146.27,5622.14,2025-09,707.27,203.33,2025-09,27.12,0.2,14.09,1,2025-03,0.58,83.7,59.38,"WEBELSOLAR,"
Precision Wires India Ltd.,PRECWIRE,Cable,4122.28,NSE,225.40,-0.76,1,2025-03,61.51,4144.06,2025-06,4196,94.89,2025-06,43.44,1.88,6.19,1,2025-03,0.11,16.63,26.88,"PRECWIRE,"
