Sector: Fast Moving Consumer Goods,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Hindustan Unilever Ltd.,HINDUNILVR,Household & Personal Products,567308.81,NSE,2414.00,-0.90,2,2025-09,14,562880.81,2025-09,64243,10930,2025-09,52.1,6.05,11.65,2,2025-03,0,21.21,29.43,"HINDUNILVR,"
ITC Ltd.,ITC,Cigarettes/Tobacco,506124.64,NSE,404.05,-0.85,2,2025-09,157.37,502235.65,2025-09,85111.53,20257.34,2025-09,14.45,0.82,7.12,2,2025-03,0,27.9,37.3,"ITC,"
Nestle India Ltd.,NESTLEIND,Consumer Food,243141.15,NSE,1262.70,-0.27,2,2025-09,71.37,242846.63,2025-09,21023.38,2994.13,2025-09,82.39,,54.83,2,2025-03,0.19,87.27,109.45,"NESTLEIND,"
Varun Beverages Ltd.,VBL,Consumer Food,159105.66,NSE,470.20,-0.35,2,2025-06,1634.05,158590.75,2025-09,21708.4,3001.81,2025-09,53.57,1.31,8.33,2,2024-12,0.14,22.4,25.18,"VBL,"
Britannia Industries Ltd.,BRITANNIA,Consumer Food,148388.12,NSE,6157.50,2.39,2,2025-09,2174.89,150268.92,2025-09,18487.66,2331.44,2025-09,64.05,6.97,39.74,2,2025-03,0.28,52.5,53.02,"BRITANNIA,"
Godrej Consumer Products Ltd.,GODREJCP,Household & Personal Products,114827.92,NSE,1121.80,-2.11,2,2025-09,3904.67,117652.25,2025-09,14853.33,1822,2025-09,63.02,16.12,9.44,2,2025-03,0.32,15.11,19.17,"GODREJCP,"
Marico Ltd.,MARICO,Edible Oil,92302.7,NSE,711.60,-0.22,2,2025-03,379,91904.7,2025-06,11447,1697,2025-06,55.3,5.93,20.99,2,2025-03,0.1,43.36,50.62,"MARICO,"
Dabur India Ltd.,DABUR,Household & Personal Products,92019.05,NSE,518.65,-0.96,2,2025-09,1076.03,92448.78,2025-09,12781.29,1781.62,2025-09,50.87,17.24,8.4,2,2025-03,0.07,17,21.47,"DABUR,"
Patanjali Foods Ltd.,PATANJALI,Edible Oil,62985.26,NSE,578.90,1.03,2,2025-09,2889.39,64266.27,2025-09,37493.88,1426.46,2025-09,44.16,,5.2,2,2025-03,0.07,39.79,22.34,"PATANJALI,"
Colgate-Palmolive (India) Ltd.,COLPAL,Household & Personal Products,58965.13,NSE,2167.20,-0.29,1,2025-09,,57617.66,2025-09,5877.91,1325.91,2025-09,44.47,3.72,37.26,1,2025-03,0,80.84,109.31,"COLPAL,"
Godfrey Phillips India Ltd.,GODFRYPHLP,Cigarettes/Tobacco,47275.73,NSE,3031.00,0.26,2,2025-09,31.02,47231.26,2025-09,7228.78,1035.31,2025-09,37.63,1.65,8.11,2,2025-03,0.01,24.35,31.05,"GODFRYPHLP,"
Procter & Gamble Hygiene and Health Care Ltd.,PGHH,Household & Personal Products,42674.67,NSE,13174.00,0.09,1,2025-09,,41881.55,2025-09,4326.46,826.61,2025-09,51.63,5.16,45.82,1,2025-03,0,90.52,115.95,"PGHH,"
Jubilant FoodWorks Ltd.,JUBLFOOD,Consumer Food,38046.67,NSE,576.50,-1.16,2,2025-03,1502.16,39394.61,2025-06,8469.52,267.18,2025-06,154.21,-24.29,17.67,2,2025-03,0.73,11.09,22.85,"JUBLFOOD,"
AWL Agri Business Ltd.,AWL,Edible Oil,35104.32,NSE,270.80,-0.17,2,2025-09,836.31,34299.04,2025-09,69752.12,1029,2025-09,32.44,,3.54,2,2025-03,0.18,13.12,21.26,"AWL,"
Gillette India Ltd.,GILLETTE,Household & Personal Products,27660.94,NSE,8480.50,-2.60,1,2025-09,,27069.42,2025-09,2970.55,573.99,2025-09,48.19,4.71,23.79,1,2025-03,0,42.71,56.42,"GILLETTE,"
Hatsun Agro Product Ltd.,HATSUN,Consumer Food,23191.44,NSE,1041.90,2.14,2,2025-09,1524.82,24666.6,2025-03,8699.76,278.81,2025-03,83.18,,12.68,2,2025-03,1.22,16.95,14.6,"HATSUN,"
Emami Ltd.,EMAMILTD,Household & Personal Products,22440.47,NSE,514.10,-1.70,2,2025-03,62.08,22229.65,2025-06,3807.21,828.22,2025-06,27.43,1.31,7.84,2,2025-03,0.02,31.23,34.28,"EMAMILTD,"
Devyani International Ltd.,DEVYANI,Consumer Food,18246.51,NSE,147.97,-4.95,2,2025-09,965.93,19046.91,2025-09,5240.72,-42.91,2025-09,0,,11.75,2,2025-03,0.86,-0.65,14.03,"DEVYANI,"
Bikaji Foods International Ltd.,BIKAJI,Consumer Food,17981.28,NSE,717.45,-1.24,2,2025-03,153.51,17915.74,2025-06,2702.36,194.81,2025-06,88.93,,12.52,2,2025-03,0.11,15,19.51,"BIKAJI,"
DOMS Industries Ltd.,DOMS,Printing & Stationery,15015.93,NSE,2474.60,-2.89,2,2025-03,153.09,14943.66,2025-06,2029.89,218.34,2025-06,72.27,,14.18,2,2025-03,0.15,23.54,28.94,"DOMS,"
Zydus Wellness Ltd.,ZYDUSWELL,Consumer Food,14317.23,NSE,450.35,1.48,2,2025-09,3035.9,17231.63,2025-09,2886.4,253.4,2025-09,56.5,4.7,2.51,2,2025-03,0.03,6.29,6.43,"ZYDUSWELL,"
LT Foods Ltd.,LTFOODS,Consumer Food,14046.38,NSE,404.30,-0.83,2,2025-09,1183.18,14616.47,2025-09,9732.83,622.04,2025-09,22.08,0.84,3.35,2,2025-03,0.19,16.93,21.42,"LTFOODS,"
Jyothy Labs Ltd.,JYOTHYLAB,Household & Personal Products,11466.27,NSE,312.35,-0.35,1,2025-03,0,11323.92,2025-06,2853.95,366.13,2025-06,31.32,1.89,7.76,2,2025-03,0,19.21,25.65,"JYOTHYLAB,"
Godrej Agrovet Ltd.,GODREJAGRO,Animal Feed,11356.07,NSE,589.55,-4.74,2,2025-09,2040.09,13379.33,2025-09,9764.98,360.34,2025-09,26.08,4.06,6.27,2,2025-03,0.54,16.52,18.36,"GODREJAGRO,"
Safari Industries (India) Ltd.,SAFARI,Household & Personal Products,10045.62,NSE,2048.50,-1.66,2,2025-03,19.8,9840.39,2025-06,1849.39,148.88,2025-06,67.47,1.87,10.05,2,2025-03,0.02,16.16,21.15,"SAFARI,"
Orkla India Ltd.,ORKLAINDIA,Consumer Food,9681.71,NSE,706.95,-0.94,1,2025-03,0,9491,,,,2025-03,38.13,,2.35,2,2025-03,0,9.71,13.72,"ORKLAINDIA,"
Avanti Feeds Ltd.,AVANTIFEED,Animal Feed,9510.63,NSE,697.95,-2.47,2,2025-09,11.86,8831.26,2025-09,5966.95,652.49,2025-09,15.38,1.74,3.16,2,2025-03,0,21.56,28.54,"AVANTIFEED,"
KRBL Ltd.,KRBL,Consumer Food,8769.92,NSE,383.45,1.60,2,2025-03,376.57,8684.31,2025-06,5978.98,540.07,2025-06,16.24,-5.19,1.63,2,2025-03,0.07,9.43,11.92,"KRBL,"
Sapphire Foods India Ltd.,SAPPHIRE,Consumer Food,8682.16,NSE,270.30,-3.12,2,2025-09,9.88,8640.69,2025-09,2987.14,0.23,2025-09,0,,6.24,2,2025-03,0.01,1.25,9.68,"SAPPHIRE,"
Mrs. Bectors Food Specialities Ltd.,BECTORFOOD,Consumer Food,7975.62,NSE,1299.50,-0.77,2,2025-03,131.32,7818.76,2025-06,1907.44,138.59,2025-06,57.51,1.58,6.67,2,2025-03,0.11,15.68,18.78,"BECTORFOOD,"
Galaxy Surfactants Ltd.,GALAXYSURF,Household & Personal Products,7928.75,NSE,2236.30,-1.05,2,2025-03,141.84,7854.75,2025-06,4527.53,304.68,2025-06,26.02,4.52,3.25,2,2025-03,0.06,13.43,16.6,"GALAXYSURF,"
Sheela Foam Ltd.,SFL,Household & Personal Products,7437.99,NSE,683.00,1.71,2,2025-09,1014.62,8419.16,2025-09,3513.06,52.76,2025-09,129.67,-6.7,2.42,2,2025-03,0.4,3.21,5.41,"SFL,"
Dodla Dairy Ltd,DODLA,Consumer Food,7229.38,NSE,1199.20,-0.17,2,2025-09,31.47,7072.3,2025-09,3836.53,260.07,2025-09,27.8,0.71,4.72,2,2025-03,0.02,20.45,27.65,"DODLA,"
Cupid Ltd.,CUPID,Household & Personal Products,6989.54,NSE,260.38,6.11,2,2025-03,12.63,6933.6,2025-03,183.52,40.89,2025-03,170.95,,27,2,2025-03,0.05,18.25,17.04,"CUPID,"
Hindustan Foods Ltd.,HNDFDS,Consumer Food,6404.82,NSE,536.70,0.52,2,2025-03,857.79,7178.99,2025-06,3690.99,114.11,2025-06,56.13,1.48,6.45,2,2025-03,1,15.4,14.89,"HNDFDS,"
EPL Ltd.,EPL,Packaging,6251.45,NSE,195.23,-0.50,2,2025-03,672.7,6727.25,2025-06,4313.8,397,2025-06,15.83,1.43,2.58,2,2025-03,0.29,16.61,18.08,"EPL,"
