Sector: Ferro Manganese,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Indian Metals & Ferro Alloys Ltd.,IMFA,Ferro & Silica Manganese,6446.98,NSE,1197.00,6.02,2,2025-09,419.45,6840.67,2025-09,2570.56,330.87,2025-09,19.51,0.39,2.57,2,2025-03,0.16,17.04,21.5,"IMFA,"
Maithan Alloys Ltd.,MAITHANALL,Ferro & Silica Manganese,3152.2,NSE,1078.70,0.86,2,2025-03,585.25,3678.56,2025-06,2062.85,712.76,2025-06,4.44,0.19,0.74,2,2025-03,0.16,18.32,23.38,"MAITHANALL,"
Owais Metal & Mineral Processing Ltd.,OWAIS,Ferro & Silica Manganese,838.66,NSE,461.25,-3.46,1,2025-03,25.32,858.68,2025-03,213.41,47.02,2025-03,17.84,,7.51,1,2025-03,0.23,52.23,56.23,"OWAIS,"
Jainam Ferro Alloys (I) Ltd.,JAINAM,Ferro & Silica Manganese,326.74,NSE,279.00,,1,2025-03,2.33,283.69,2025-03,221.4,10.73,2025-03,30.46,,2.67,2,2025-03,0.02,8.89,12.55,"JAINAM,"
Shyam Century Ferrous Ltd.,SHYAMCENT,Ferro & Silica Manganese,134.09,NSE,6.33,-3.06,1,2025-09,0.17,49.02,2025-09,76.26,-7.54,2025-09,0,,0.79,1,2025-03,0.02,-5.67,-5.65,"SHYAMCENT,"
Indsil Hydro Power and Manganese Ltd.,INDSILHYD,Ferro & Silica Manganese,130.76,BSE,47.00,-5.92,1,2025-09,,127.01,2025-09,143.78,-12.52,2025-09,0,,0.69,2,2024-03,0.82,-9.44,1.13,"INDSILHYD,"
Nagpur Power & Industries Ltd.,NAGPI,Ferro & Silica Manganese,127.68,BSE,97.50,-1.07,2,2025-03,17.13,144.18,2025-06,65.58,2.53,2025-06,50.55,2.48,1.5,2,2025-03,0.2,3.3,5.49,"NAGPI,"
Chrome Silicon Ltd.,CHROME,Ferro & Silica Manganese,77.09,BSE,47.00,-1.59,1,2025-03,38.02,112.36,2025-06,38.55,-81.52,2025-06,0,,-0.71,1,2025-03,-0.36,0,0,"CHROME,"
Facor Alloys Ltd.,FACORALL,Ferro & Silica Manganese,60.62,BSE,3.15,-0.32,2,2025-03,13.15,73.43,2025-06,0.22,-61.11,2025-06,0,,0.58,2,2025-03,0.12,-37.19,-40.11,"FACORALL,"
Impex Ferro Tech Ltd.,IMPEXFERRO,Ferro & Silica Manganese,17.15,NSE,1.95,4.28,1,2025-03,267.69,283.98,2025-06,0,-7.35,2025-06,0,0,-0.05,1,2025-03,-0.85,0,0,"IMPEXFERRO,"
