Sector: Finance,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,TTM Ending (Results),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Bajaj Finance Ltd.,BAJFINANCE,Finance - NBFC,663721.03,NSE,1066.60,2.37,2,2025-06,17616.76,2025-06,38.09,1.47,6.57,2,2025-03,3.77,19.58,11.37,"BAJFINANCE,"
Life Insurance Corporation of India,LICI,Insurance,584366.54,NSE,924.15,3.13,2,2025-09,46714.51,2025-09,11.44,,4.12,2,2025-03,0,45.82,45.85,"LICI,"
Bajaj Finserv Ltd.,BAJAJFINSV,Finance - Investment,336219.85,NSE,2102.10,1.89,2,2025-06,18661.33,2025-06,35.3,1.65,4.37,2,2025-03,4.95,26.75,12.48,"BAJAJFINSV,"
SBI Life Insurance Company Ltd.,SBILIFE,Insurance,200418.36,NSE,1998.90,1.43,1,2025-09,2453.29,2025-09,81.69,7.32,10.95,1,2025-03,0,15.38,15.9,"SBILIFE,"
JIO Financial Services Ltd.,JIOFIN,Finance - NBFC,190117.76,NSE,299.30,0.40,2,2025-09,1276.78,2025-09,116.59,,1.41,2,2025-03,0.03,1.23,1.5,"JIOFIN,"
HDFC Life Insurance Company Ltd.,HDFCLIFE,Insurance,161501.65,NSE,749.25,1.79,2,2025-09,1893.31,2025-09,85.3,12.38,9.52,2,2025-03,0.19,12.1,11.1,"HDFCLIFE,"
Indian Railway Finance Corporation Ltd.,IRFC,Finance Term Lending,158651.66,NSE,121.36,0.92,1,2025-09,6835.2,2025-09,23.21,1.52,2.82,1,2025-03,7.83,12.77,5.83,"IRFC,"
Shriram Finance Ltd.,SHRIRAMFIN,Finance - NBFC,153564.27,NSE,816.35,3.01,2,2025-09,9836.51,2025-09,15.57,0.57,2.53,2,2025-03,4.15,17.9,11.6,"SHRIRAMFIN,"
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Finance - NBFC,143554.03,NSE,1703.90,1.22,2,2025-09,4641.7,2025-09,30.9,0.96,5.47,2,2025-03,7.46,19.86,10.34,"CHOLAFIN,"
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Finance - NBFC,140186.97,NSE,12580.00,-4.25,2,2025-06,2030.06,2025-06,16.7,0.99,2.18,2,2025-03,0,11.33,11.54,"BAJAJHLDNG,"
Tata Capital Ltd.,TATACAP,Finance - NBFC,137088.05,NSE,322.85,-1.10,2,,,2025-03,37.41,,3.18,2,2025-03,7.2,13.97,9.71,"TATACAP,"
Muthoot Finance Ltd.,MUTHOOTFIN,Finance - NBFC,129676.33,NSE,3230.00,1.45,2,2025-06,6130.95,2025-06,21.07,1.88,4.27,2,2025-03,3.38,19.65,13.27,"MUTHOOTFIN,"
Power Finance Corporation Ltd.,PFC,Finance Term Lending,125552.37,NSE,380.25,-1.52,2,2025-09,32933.53,2025-09,5.07,0.19,0.99,2,2025-03,8.25,27.88,10.07,"PFC,"
HDFC Asset Management Company Ltd.,HDFCAMC,Finance - Asset Management,116330.92,NSE,5432.50,0.82,2,2025-09,2745.8,2025-09,42.37,,15.03,2,2025-03,0,33.05,43.34,"HDFCAMC,"
BSE Ltd.,BSE,Finance - Others,108773.55,NSE,2678.30,9.07,2,2025-06,1507.47,2025-06,67.97,0.98,17.77,2,2025-03,0,26.84,36.28,"BSE,"
ICICI Lombard General Insurance Company Ltd.,ICICIGI,Insurance,100565.75,NSE,2020.20,0.96,1,2025-09,2800.59,2025-09,35.91,2.24,6.38,1,2025-03,0,19.14,25.31,"ICICIGI,"
REC Ltd.,RECLTD,Finance Term Lending,96007.35,NSE,364.95,0.62,2,2025-09,17266.97,2025-09,5.56,0.21,1.15,2,2025-03,6.33,21.67,9.96,"RECLTD,"
Bajaj Housing Finance Ltd.,BAJAJHFL,Finance - Housing,91197.4,NSE,109.50,0.11,1,2025-09,2360.96,2025-09,38.63,,4.31,1,2025-03,4.12,13.45,9.56,"BAJAJHFL,"
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,Insurance,89068.33,NSE,615.35,1.92,2,2025-09,1307.01,2025-09,68.15,31.99,7.03,2,2025-03,0.22,10.52,10.12,"ICICIPRULI,"
Aditya Birla Capital Ltd.,ABCAPITAL,Finance - NBFC,88310.03,NSE,338.10,3.38,2,2025-09,2901.94,2025-09,27.06,0.93,2.74,2,2025-03,4.64,11.96,9.5,"ABCAPITAL,"
SBI Cards And Payment Services Ltd.,SBICARD,Finance - NBFC,83003.49,NSE,872.00,0.21,1,2025-09,1918.14,2025-09,43.27,4.8,5.61,1,2025-03,3.26,14.83,11.79,"SBICARD,"
L&T Finance Ltd.,LTF,Finance - NBFC,75942,NSE,303.60,10.32,2,2025-09,2697.21,2025-09,28.14,3.05,2.88,2,2025-03,3.62,10.84,8.72,"LTF,"
General Insurance Corporation of India,GICRE,Insurance,66579.48,NSE,379.15,1.39,2,2025-06,8024.99,2025-06,7.78,0.06,1.28,2,2025-03,0,16.41,21.11,"GICRE,"
Motilal Oswal Financial Services Ltd.,MOTILALOFS,Finance - Stock Broking,59831.74,NSE,996.45,0.91,2,2025-09,2021.21,2025-09,29.56,0.43,4.65,2,2025-03,1.35,25.65,18.74,"MOTILALOFS,"
HDB Financial Services Ltd.,HDBFS,Finance - NBFC,59040.26,NSE,711.90,-1.22,1,,,2025-03,27.13,,3.05,2,2025-03,5.56,14.81,9.79,"HDBFS,"
Max Financial Services Ltd.,MFSL,Finance - Others,55880.98,NSE,1618.10,2.14,2,2025-06,336.36,2025-06,207.31,11.73,10.45,2,2025-03,0.2,8.92,10.34,"MFSL,"
Nippon Life India Asset Management Ltd.,NAM-INDIA,Finance - Asset Management,54114.98,NSE,849.55,-2.00,2,2025-09,1333.51,2025-09,40.54,1.6,12.35,2,2025-03,0,32.31,41.51,"NAM-INDIA,"
Sundaram Finance Ltd.,SUNDARMFIN,Finance - NBFC,53467.62,NSE,4808.00,-1.04,2,2025-09,1907.58,2025-09,27.12,1.44,3.53,2,2025-03,4.63,14.95,9.69,"SUNDARMFIN,"
Multi Commodity Exchange Of India Ltd.,MCX,Finance - Stock Broking,48071.83,NSE,9430.50,1.95,2,2025-09,696.86,2025-09,69.05,3.67,15.4,2,2025-03,0,22.52,28.14,"MCX,"
Authum Investment & Infrastructure Ltd.,AIIL,Finance - Investment,47608.43,NSE,2800.10,-0.02,2,2025-06,4087.78,2025-06,11.65,,3.05,2,2025-03,0.07,33.88,30.27,"AIIL,"
Housing & Urban Development Corporation Ltd.,HUDCO,Finance - Housing,46133.79,NSE,230.69,1.39,2,2025-06,2781.62,2025-06,16.59,1.72,2.48,2,2025-03,5.97,15.67,9.62,"HUDCO,"
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Finance - NBFC,43561.7,NSE,313.25,0.43,2,2025-09,2401.51,2025-09,17.66,1.1,1.76,2,2025-03,5.75,11.35,8.92,"M&MFIN,"
360 One Wam Ltd.,360ONE,Finance - Stock Broking,43173.89,NSE,1066.00,-0.21,2,2025-09,1126.22,2025-09,38.34,0.96,4.62,2,2025-03,1.61,19.88,14.4,"360ONE,"
Indian Renewable Energy Development Agency Ltd.,IREDA,Finance - NBFC,41941.82,NSE,149.37,0.55,2,2025-03,1698.34,2025-03,24.7,,3.25,2,2025-03,6.31,18.04,9.37,"IREDA,"
