Sector: Industrials Gases & Fuels,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Linde India Ltd.,LINDEINDIA,Industrial  Gases & Fuels,50058.43,NSE,5878.50,0.61,2,2025-09,,49955.48,2025-09,2413,505.98,2025-09,97.59,3.28,12.53,2,2025-03,0,12.49,17.18,"LINDEINDIA,"
Petronet LNG Ltd.,PETRONET,Industrial  Gases & Fuels,41782.5,NSE,278.50,1.27,2,2025-09,,30405.61,2025-09,47431.6,3560.49,2025-09,11.39,1.52,1.98,2,2025-03,0.02,20.83,28.76,"PETRONET,"
Ellenbarrie Industrial Gases Ltd.,ELLEN,Industrial  Gases & Fuels,6521.09,NSE,463.60,0.70,1,2025-03,245.3,6763.37,2016-12,100.55,-2.52,2025-03,78.29,,4.87,1,2025-03,0.52,19.44,19.55,"ELLEN,"
Refex Industries Ltd.,REFEX,Industrial  Gases & Fuels,4875.48,NSE,356.55,-3.33,2,2025-09,107.76,4611.96,2025-09,2154.99,163.81,2025-09,31.06,0.92,3.86,2,2025-03,0.16,20.8,23.14,"REFEX,"
Stallion India Fluorochemicals Ltd.,STALLION,Industrial  Gases & Fuels,1773.32,NSE,223.55,-4.99,1,2025-09,1.16,1691.36,2025-09,452.76,44.84,2025-09,39.55,,5.58,1,2025-03,0.01,15.17,19.67,"STALLION,"
Confidence Petroleum India Ltd.,CONFIPET,Industrial  Gases & Fuels,1360.19,NSE,40.90,1.39,2,2025-03,529.88,1732.52,2025-06,3479.83,92.99,2025-06,14.88,1.42,1.02,2,2025-03,0.4,7.1,11.14,"CONFIPET,"
IRM Energy Ltd.,IRMENERGY,Industrial  Gases & Fuels,1250.68,NSE,307.30,1.74,2,2025-03,125.7,1031.06,2025-06,1097.94,42.61,2025-06,30.94,,1.3,2,2025-03,0.13,5,8.64,"IRMENERGY,"
Petro Carbon And Chemicals Ltd.,PCCL,Industrial  Gases & Fuels,434.72,NSE,176.00,0.51,1,2025-09,258.39,675.76,2025-03,295.97,9.47,2025-03,45.9,,3.39,2,2025-03,1.12,7.39,5.32,"PCCL,"
Rajasthan Securities Ltd.,RAJGASES,Industrial  Gases & Fuels,330.79,BSE,43.00,-4.44,1,2025-03,0,330.64,2025-06,18.07,16.69,2025-06,19.82,0.14,7.27,1,2025-03,0,21.65,24.79,"RAJGASES,"
Nilachal Carbo Metalicks Ltd.,NCML,Industrial  Gases & Fuels,266.84,BSE,107.00,0.05,1,2025-03,23.55,289.11,,,,2025-03,19.2,,2.65,2,2025-03,0.3,19.66,24.09,"NCML,"
National Oxygen Ltd.,NOL,Industrial  Gases & Fuels,54.91,BSE,108.90,2.25,1,2025-03,30.64,85,2025-06,37.6,-7.63,2025-06,0,,-5.56,1,2025-03,-3.83,0,-21.59,"NOL,"
Rajasthan Cylinders & Containers Ltd.,RCCL,Industrial  Gases & Fuels,12.47,BSE,37.10,-1.07,1,2025-03,0.44,11.35,2025-06,0,-1.03,2025-06,0,0,0.95,1,2025-03,0.03,-6.19,-9.84,"RCCL,"
Gagan Gases Ltd.,GAGAN,Industrial  Gases & Fuels,11.48,BSE,25.00,-1.69,1,2025-09,0.39,11.43,2025-09,5.42,0.13,2025-09,88.32,2.22,3.54,1,2025-03,0.01,8.38,11.82,"GAGAN,"
Bhagawati Oxygen Ltd.,BHAGWOX,Industrial  Gases & Fuels,9.51,BSE,41.11,0.00,1,2025-03,1.59,10.55,2025-06,0.72,-0.29,2025-06,0,,2.41,1,2024-03,0.29,9.48,12.86,"BHAGWOX,"
Foundry Fuel Products Ltd.,FFPL,Industrial  Gases & Fuels,4.84,BSE,6.04,,1,2025-03,1.06,5.87,2025-06,0,-0.25,2025-06,0,0,-3.77,1,2025-03,-0.85,0,0,"FFPL,"
Southern Gas Ltd.,ZSOUTGAS,Industrial  Gases & Fuels,0.06,BSE,25.00,,1,2025-09,,-1.15,2025-09,35.9,2.2,2025-06,0.03,0,0,1,2025-03,0,7.69,10.15,"ZSOUTGAS,"
Hilltone Software & Gases Ltd.,HILLTONE,Industrial  Gases & Fuels,0,BSE,75.47,4.99,1,2025-03,0.4,0,2025-03,7.52,-0.16,2025-03,,,,1,2025-03,0.03,-1.14,2.42,"HILLTONE,"
