Sector: Infrastructure,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Larsen & Toubro Ltd.,LT,Engineering - Construction,533952.35,NSE,3882.50,0.02,2,2025-09,130621.77,645878.85,2025-09,270722.51,19147.13,2025-09,32.56,3.63,5.27,2,2025-03,1.33,19.33,15.84,"LT,"
Rail Vikas Nigam Ltd.,RVNL,Engineering - Construction,66314.06,NSE,318.00,0.06,2,2025-03,5407.31,67835.14,2025-06,19757.98,1088.52,2025-06,55.63,5.01,6.84,2,2025-03,0.56,14.01,14.74,"RVNL,"
IRB Infrastructure Developers Ltd.,IRB,Engineering - Construction,26843.35,NSE,44.49,-0.85,2,2025-03,18963.36,42361.03,2025-06,7859.5,6626.91,2025-06,4.1,0.53,1.34,2,2025-03,0.96,38.61,24.76,"IRB,"
Kalpataru Projects International Ltd.,KPIL,Engineering - Construction,22095.41,NSE,1295.90,-0.65,2,2025-09,4634.83,25810.78,2025-09,25498.99,808.74,2025-09,26.91,3.13,3.17,2,2025-03,0.64,9.74,16.17,"KPIL,"
KEC International Ltd.,KEC,Engineering - Construction,20213.9,NSE,759.35,-3.51,2,2025-03,3701.1,23259.07,2025-06,22357.69,607.77,2025-06,33.26,184.77,3.69,2,2025-03,0.69,12.09,18.5,"KEC,"
Afcons Infrastructure Ltd.,AFCONS,Engineering - Construction,16259.76,NSE,442.05,-0.38,2,2025-03,2229.8,17719,2025-06,12764.44,532.6,2025-06,30.53,,3.01,2,2025-03,0.42,10.99,19.79,"AFCONS,"
Ircon International Ltd.,IRCON,Engineering - Construction,15396.24,NSE,163.60,0.04,2,2025-03,4264.32,14878.93,2025-06,10258.73,598.98,2025-06,23.05,2.73,2.38,2,2025-03,0.67,11.93,12.75,"IRCON,"
Techno Electric & Engineering Company Ltd.,TECHNOE,Engineering - Construction,14935.19,NSE,1283.30,0.78,2,2025-03,39.09,14844.96,2025-06,2419.27,435.8,2025-06,32.4,1.73,3.88,2,2025-03,0.01,12.81,16.54,"TECHNOE,"
Cemindia Projects Ltd.,CEMPRO,Engineering - Construction,14715.32,NSE,856.40,0.84,2,2025-09,958.27,14924.95,2025-09,9442.4,439.28,2025-09,33.03,0.78,7.19,2,2025-03,0.51,22.44,28.57,"CEMPRO,"
NCC Ltd.,NCC,Engineering - Construction,12264.98,NSE,195.31,-0.12,2,2025-09,2922.76,14423.46,2025-09,21197.4,829.92,2025-09,15.45,0.92,1.63,2,2025-03,0.22,12.44,22.58,"NCC,"
GR Infraprojects Ltd.,GRINFRA,Engineering - Construction,11064.57,NSE,1143.60,0.76,2,2025-03,4966.16,15135.07,2025-06,7352.19,889.78,2025-06,10.03,,1.28,2,2025-03,0.59,12.64,14.39,"GRINFRA,"
Inox Green Energy Services Ltd.,INOXGREEN,Engineering - Construction,9898.1,NSE,264.65,2.40,2,2025-03,180.93,10030.86,2025-06,240.89,40.72,2025-06,260.07,,5.31,2,2025-03,0.1,1.3,2.91,"INOXGREEN,"
Dilip Buildcon Ltd.,DBL,Engineering - Construction,7801.41,NSE,479.85,0.71,2,2025-03,9525.39,16168.46,2025-06,10767.48,971.63,2025-06,10.4,2.07,1.49,2,2025-03,1.93,18.32,17.02,"DBL,"
Power Mech Projects Ltd.,POWERMECH,Engineering - Construction,7577.95,NSE,2396.30,0.99,2,2025-03,723.24,7708.42,2025-06,5520.15,369.39,2025-06,23.76,1.19,3.38,2,2025-03,0.33,17.39,23.1,"POWERMECH,"
PNC Infratech Ltd.,PNCINFRA,Engineering - Construction,7118.96,NSE,277.45,-0.56,2,2025-03,9344.56,14819.86,2025-06,6023.97,671.57,2025-06,10.6,1.29,1.11,2,2025-03,1.56,14.6,14.32,"PNCINFRA,"
ISGEC Heavy Engineering Ltd.,ISGEC,Engineering - Construction,6361.77,NSE,863.25,0.11,2,2025-03,843.14,7058.42,2025-06,6225.95,280.7,2025-06,26.96,2.34,2.27,2,2025-03,0.31,13.52,15.49,"ISGEC,"
H.G. Infra Engineering Ltd.,HGINFRA,Engineering - Construction,5889.84,NSE,904.40,0.67,2,2025-03,4091.86,9784.81,2025-06,5010.34,440.99,2025-06,13.33,0.55,1.93,2,2025-03,1.39,18.7,17.19,"HGINFRA,"
Oriana Power Ltd.,ORIANA,Engineering - Construction,5669.04,NSE,2790.00,-1.73,1,2025-03,270.61,5869.25,2025-03,1018.67,163.35,2025-03,34.71,,10.89,2,2025-03,0.53,48.35,42.7,"ORIANA,"
Ashoka Buildcon Ltd.,ASHOKA,Engineering - Construction,5592.01,NSE,198.92,-0.89,2,2025-03,1954.36,7169.69,2025-06,9458.3,1801.56,2025-06,3.18,0.05,1.35,2,2025-03,0.5,56.51,41.38,"ASHOKA,"
Man InfraConstruction Ltd.,MANINFRA,Engineering - Construction,5463.63,NSE,135.44,-0.89,2,2025-03,35.6,5076.34,2025-06,949.34,317.45,2025-06,20.95,0.19,2.55,2,2025-03,0.02,21.06,24.49,"MANINFRA,"
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,Engineering - Construction,5365.39,NSE,229.87,-0.80,2,2025-09,1194.3,6119.24,2025-09,7866.54,-366.78,2025-09,0,0,11.41,2,2025-03,0.9,8.7,17.26,"SWSOLAR,"
KNR Constructions Ltd.,KNRCON,Engineering - Construction,5072.07,NSE,180.20,0.66,2,2025-03,1846.63,6596.18,2025-06,4380.89,964.13,2025-06,5.32,0.16,1.09,2,2025-03,0.41,24.78,26.21,"KNRCON,"
Hindustan Construction Company Ltd.,HCC,Engineering - Construction,4787.04,NSE,26.31,-1.97,2,2025-09,1610.42,5877.43,2025-09,4432.58,345.21,2025-09,31.98,,4.38,2,2025-03,1.85,30.57,49.63,"HCC,"
J Kumar Infraprojects Ltd.,JKIL,Engineering - Construction,4684.07,NSE,619.60,-5.43,2,2025-09,776.22,4686.43,2025-09,5946.02,407.57,2025-09,11.47,,1.48,2,2025-03,0.23,13.82,19.94,"JKIL,"
Nirlon Ltd.,NIRLON,Engineering - Construction,4526.63,BSE,501.75,0.18,1,2025-03,1146.38,5499.07,2025-06,642.56,226.74,2025-06,19.96,1.35,10.9,1,2025-03,3.21,59.78,30.14,"NIRLON,"
Ceigall India Ltd.,CEIGALL,Engineering - Construction,4337.7,NSE,248.80,0.61,2,2025-03,1396.69,5100.46,2025-06,3452.52,260.05,2025-06,16.2,,2.3,2,2025-03,0.76,21.07,20.04,"CEIGALL,"
Interarch Building Solutions Ltd.,INTERARCH,Engineering - Construction,4240.34,NSE,2520.70,14.87,1,2025-09,8.71,4078.65,2025-09,1698.99,127.54,2025-09,33.25,,5.3,1,2025-03,0.02,18.15,24.95,"INTERARCH,"
Ramky Infrastructure Ltd.,RAMKY,Engineering - Construction,4188.54,NSE,606.25,0.59,2,2025-03,570.3,4599.1,2025-06,1854.65,216.55,2025-06,20.5,0.92,2.11,2,2025-03,0.3,11.64,17.97,"RAMKY,"
GK Energy Ltd.,GKENERGY,Engineering - Construction,4183.11,NSE,206.12,1.38,2,2025-03,217.79,4338.08,,,,2025-03,31.4,,5.6,2,2025-03,1.04,100.52,74.34,"GKENERGY,"
Enviro Infra Engineers Ltd.,EIEL,Engineering - Construction,4019.64,NSE,228.90,-4.19,2,2025-09,294.56,3941.6,2025-09,1108.64,202.79,2025-09,20.04,,3.53,2,2025-03,0.23,27.54,31.68,"EIEL,"
Patel Engineering Ltd.,PATELENG,Engineering - Construction,2996.69,NSE,35.46,-1.06,2,2025-03,1602.46,4194.35,2025-06,5225.14,268.31,2025-06,10.93,0.09,0.79,2,2025-03,0.43,6.96,12.61,"PATELENG,"
