Sector: Iron & Steel,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
JSW Steel Ltd.,JSWSTEEL,Steel & Iron Products,286546.07,NSE,1171.70,0.25,2,2025-09,98230,371880.07,2025-09,174496,6500,2025-09,47.54,-8.87,3.46,2,2025-03,1.21,4.47,7.97,"JSWSTEEL,"
Tata Steel Ltd.,TATASTEEL,Steel & Iron Products,226512.31,NSE,181.37,2.31,2,2025-03,88963.81,303829.14,2025-06,216949.24,4084.55,2025-06,49.91,1.44,2.47,2,2025-03,0.99,3.52,8.99,"TATASTEEL,"
Jindal Steel Ltd.,JINDALSTEL,Steel/Sponge Iron/Pig Iron,109103.52,NSE,1069.90,2.33,2,2025-09,18597.23,124204.69,2025-09,48914.16,2787.46,2025-09,39.77,0.24,2.21,2,2025-03,0.38,6.24,9.4,"JINDALSTEL,"
Lloyds Metals & Energy Ltd.,LLOYDSME,Steel/Sponge Iron/Pig Iron,69632.04,NSE,1315.60,0.08,2,2025-03,755.75,69648.52,2025-06,6616.42,1534.08,2025-06,45.39,0.4,11.18,2,2025-03,0.14,35.66,38.59,"LLOYDSME,"
Jindal Stainless Ltd.,JSL,Steel & Iron Products,60421.71,NSE,731.75,0.27,2,2025-03,6297.73,64449.57,2025-06,40089.59,2624.24,2025-06,23.5,0.22,3.48,2,2025-03,0.38,16.13,18.25,"JSL,"
Steel Authority Of India Ltd.,SAIL,Steel & Iron Products,58075.19,NSE,141.00,2.24,2,2025-09,26427.21,83540.53,2025-09,106431.98,2159.99,2025-09,22.72,-206.54,1,2,2025-03,0.63,4.09,6.39,"SAIL,"
APL Apollo Tubes Ltd.,APLAPOLLO,Steel & Iron Products,49977.26,NSE,1800.50,0.83,2,2025-09,694.4,50059.04,2025-09,21317.4,1048.79,2025-09,47.65,1.83,10.85,2,2025-03,0.15,19.41,22.9,"APLAPOLLO,"
Shyam Metalics And Energy Ltd.,SHYAMMETL,Steel & Iron Products,24023.48,NSE,860.55,2.53,2,2025-09,1093.03,25056.38,2025-09,16767.73,968.51,2025-09,24.76,1.14,2.18,2,2025-03,0.07,8.97,12.84,"SHYAMMETL,"
Welspun Corp Ltd.,WELCORP,Steel & Iron Products,23880.15,NSE,906.60,1.36,2,2025-09,1366.04,24411.17,2025-09,15463.58,1523.91,2025-09,11.04,0.57,2.91,2,2025-03,0.12,29.21,32.45,"WELCORP,"
Sarda Energy & Minerals Ltd.,SARDAEN,Steel & Iron Products,18848.87,NSE,534.85,1.41,2,2025-03,2822.8,21063.44,2025-06,5349.75,909.74,2025-06,20.15,0.49,2.81,2,2025-03,0.45,13.39,15.84,"SARDAEN,"
Godawari Power And Ispat Ltd.,GPIL,Steel & Iron Products,18387.68,NSE,274.65,1.95,2,2025-03,308.59,18001.94,2025-06,5356.5,729.39,2025-06,24.81,0.69,3.61,2,2025-03,0.06,17.35,23.51,"GPIL,"
Ratnamani Metals & Tubes Ltd.,RATNAMANI,Steel & Iron Products,16890.07,NSE,2409.50,-0.43,2,2025-09,225.87,17067.32,2025-09,5374.75,619.52,2025-09,27.85,2.31,4.36,2,2025-03,0.04,16.01,21.96,"RATNAMANI,"
Usha Martin Ltd.,USHAMART,Steel & Iron Products,14341.16,NSE,472.45,1.82,2,2025-09,180.96,14229.78,2025-09,3551.37,402.71,2025-09,35.48,-64.51,5.04,2,2025-03,0.12,15.84,19.3,"USHAMART,"
Gallantt Ispat Ltd.,GALLANTT,Steel & Iron Products,13365.76,NSE,552.85,5.73,2,2025-09,656.8,13769.38,2025-09,4331,491.01,2025-09,27.13,0.35,4.3,2,2025-03,0.13,15.14,19.24,"GALLANTT,"
NMDC Steel Ltd.,NSLNISP,Steel & Iron Products,12745.2,NSE,43.47,0.14,1,2025-09,5298.63,17229.31,2025-09,11712.91,-1320.39,2025-09,0,,0.98,1,2025-03,0.45,-16.6,-12.98,"NSLNISP,"
Jindal Saw Ltd.,JINDALSAW,Steel & Iron Products,10529.5,NSE,164.50,-1.45,2,2025-09,4977.17,15301.7,2025-09,18636.17,1086.26,2025-09,7.67,0.36,0.87,2,2025-03,0.41,13.62,18.73,"JINDALSAW,"
Jai Balaji Industries Ltd.,JAIBALAJI,Steel/Sponge Iron/Pig Iron,8107.18,NSE,88.86,0.42,2,2025-03,557.96,8538.94,2025-06,5989.66,419.61,2025-06,19.32,0.4,3.69,2,2025-03,0.26,30.93,36.09,"JAIBALAJI,"
Kirloskar Ferrous Industries Ltd.,KIRLFER,Steel & Iron Products,8006.2,BSE,485.65,-0.37,2,2025-09,1288.42,9227.69,2025-09,6797.95,328.05,2025-09,24.41,,2.24,2,2025-03,0.37,8.86,12.07,"KIRLFER,"
Maharashtra Seamless Ltd.,MAHSEAMLES,Steel & Iron Products,7357.23,NSE,548.55,0.16,2,2025-09,9.9,7326.9,2025-09,5129.82,794.84,2025-09,9.39,0.4,1.12,2,2025-03,0,12.89,16.63,"MAHSEAMLES,"
