Sector: Logistics,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Port,312960.93,NSE,1448.30,0.80,2,2025-09,51081.97,354294.31,2025-09,34745.59,11804.99,2025-09,26.17,1.08,4.67,2,2025-03,0.73,19.23,15.51,"ADANIPORTS,"
JSW Infrastructure Ltd.,JSWINFRA,Port,58842.04,NSE,280.20,-1.30,2,2025-09,4897.63,61638.95,2025-09,4954.45,1609.58,2025-09,37.12,,5.76,2,2025-03,0.49,17.6,16.01,"JSWINFRA,"
Container Corporation Of India Ltd.,CONCOR,Logistics,39745.03,NSE,521.70,0.45,2,2025-03,24.25,36106.18,2025-06,8937.52,1258.59,2025-06,30.64,5.96,3.13,2,2025-03,0,10.67,14.79,"CONCOR,"
Delhivery Ltd.,DELHIVERY,Logistics,32167.81,NSE,429.55,-2.95,2,2025-09,59.49,31827.59,2025-09,9423.19,127.61,2025-09,232.74,,3.38,2,2025-03,0,1.85,3.02,"DELHIVERY,"
The Great Eastern Shipping Company Ltd.,GESHIP,Shipping,15485.24,NSE,1085.20,3.40,2,2025-09,1248.94,11296.3,2025-09,4903.16,2042.66,2025-09,7.58,0.12,1.02,2,2025-03,0.15,17.59,16.95,"GESHIP,"
Blue Dart Express Ltd.,BLUEDART,Courier  Services,14759.01,NSE,6221.50,-1.73,2,2025-09,200,14819.79,2025-09,5920.26,266.37,2025-09,55.41,0.98,9.05,2,2025-03,0.13,17.29,25.41,"BLUEDART,"
Shipping Corporation Of India Ltd.,SCI,Shipping,12413.54,NSE,266.45,2.30,2,2025-09,2562.16,14237.3,2025-09,5295.7,755.76,2025-09,15.44,0.77,1.43,2,2025-03,0.23,10.64,10.05,"SCI,"
BlackBuck Ltd.,BLACKBUCK,Logistics,12103.16,NSE,668.35,0.16,2,2025-09,28.69,11395.36,2025-09,530.54,300.61,2025-09,41.02,,9.21,2,2025-03,0.03,-6.14,-31.8,"BLACKBUCK,"
Transport Corporation Of India Ltd.,TCI,Logistics,8719.64,NSE,1137.00,-1.78,2,2025-09,171.8,8812.24,2025-09,4670.1,350.7,2025-09,20.08,0.9,3.65,2,2025-03,0.07,20.13,21.48,"TCI,"
Gujarat Pipavav Port Ltd.,GPPL,Port,8672.91,NSE,179.60,4.53,2,2025-09,,7679.37,2025-09,1064.46,455.8,2025-09,18.19,4.1,3.62,2,2025-03,0,17.07,24.01,"GPPL,"
