Sector: Mining,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Coal India Ltd.,COALINDIA,Mining & Minerals,231811.03,NSE,376.00,0.76,2,2025-09,13533.76,212747.74,2025-09,139633.21,30487.34,2025-09,7.43,0.46,2.2,2,2025-03,0.09,38.83,48.57,"COALINDIA,"
NMDC Ltd.,NMDC,Mining & Minerals,65305.62,NSE,74.24,1.53,2,2025-09,3134.39,57908.61,2025-09,26689.39,7030.81,2025-09,9.29,0.74,2.01,2,2025-03,0.13,23.63,29.84,"NMDC,"
KIOCL Ltd.,KIOCL,Mining & Minerals,24419.44,NSE,402.90,-0.06,1,2025-03,0,23689.66,2025-06,534.09,-191.65,2025-06,0,,14.59,1,2025-03,0,-11.27,-10.27,"KIOCL,"
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Mining & Minerals,19086.36,NSE,600.30,5.92,2,2025-03,122.79,18626.46,2025-06,2765.31,666.64,2025-06,28.68,0.79,2.9,2,2025-03,0.02,10.96,14.2,"GMDCLTD,"
Sandur Manganese & Iron Ores Ltd.,SANDUMA,Mining & Minerals,9965.15,NSE,204.74,2.64,2,2025-09,1847.8,11737.11,2025-09,4640.86,601.61,2025-09,16.64,,3.21,2,2025-03,0.72,19.9,21.85,"SANDUMA,"
MOIL Ltd.,MOIL,Mining & Minerals,7293.93,NSE,358.15,0.22,1,2025-03,0,6393.93,2025-06,1440.16,280.79,2025-06,25.98,2.89,2.71,1,2025-03,0,14.99,19.12,"MOIL,"
Ashapura Minechem Ltd.,ASHAPURMIN,Mining & Minerals,6079.76,NSE,636.45,2.46,2,2025-03,1159.96,7118.22,2025-06,3380.35,317.83,2025-06,17.57,0.44,4.51,2,2025-03,0.93,26.74,18.58,"ASHAPURMIN,"
Raghav Productivity Enhancers Ltd.,RPEL,Mining & Minerals,4210.36,NSE,916.55,1.40,2,2025-09,6.25,4206.93,2025-09,227.72,45.46,2025-09,92.61,,19.58,2,2025-03,0.04,21.06,26.43,"RPEL,"
The Orissa Minerals Development Company Ltd.,ORISSAMINE,Mining & Minerals,3066.57,NSE,5114.50,-0.27,1,2025-03,177.99,3182.04,2025-06,70.12,-40.93,2025-06,0,0,-56.41,1,2025-03,-3.45,0,-44.94,"ORISSAMINE,"
Deccan Gold Mines Ltd.,DECNGOLD,Mining & Minerals,1956.78,BSE,124.95,-0.16,2,2025-03,147.93,2086.43,2025-06,5.57,-107.73,2025-06,0,,8.97,2,2024-03,0.5,-14.18,-8.77,"DECNGOLD,"
20 Microns Ltd.,20MICRONS,Mining & Minerals,750.37,NSE,213.21,2.35,2,2025-09,151.38,843.4,2025-09,920,62.69,2025-09,12.03,0.56,1.65,2,2025-03,0.35,15.97,19.23,"20MICRONS,"
ASI Industries Ltd.,ASIIL,Mining & Minerals,281.39,BSE,31.43,-0.38,1,2025-09,15.03,289.24,2025-09,147.1,25.92,2025-09,10.86,0.18,1.04,1,2025-03,0.11,9.95,13.63,"ASIIL,"
RAW Edge Industrial Solutions Ltd.,RAWEDGE,Mining & Minerals,25.45,BSE,25.25,-2.88,1,2025-03,18.65,44.08,2025-06,42.68,-1.18,2025-06,0,,1.24,1,2025-03,0.89,-4.86,3.14,"RAWEDGE,"
Kachchh Minerals Ltd.,KACHCHH,Mining & Minerals,16.22,BSE,30.60,-1.07,1,2025-03,0.25,15.66,2025-06,0,-0.22,2025-06,0,0,8.81,1,2025-03,0.13,0.93,2.1,"KACHCHH,"
Rajdarshan Industries Ltd.,ARENTERP,Mining & Minerals,14.51,NSE,46.67,2.59,2,2025-03,0,14.4,2025-06,0.75,0.08,2025-06,174.78,11.5,0.65,2,2025-03,0,1.08,0.84,"ARENTERP,"
