Sector: Other,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Sagility Ltd.,SAGILITY,Business Support,24268.01,NSE,51.82,2.31,2,2025-09,690.41,24606.3,2025-09,6218.99,798.87,2025-09,30.38,,2.73,2,2025-03,0.1,7.36,10.14,"SAGILITY,"
Urban Company Ltd.,URBANCO,Professional Services,20570.91,NSE,142.34,-0.76,2,2025-09,,19719.91,,,,2025-03,85.8,,9.08,2,2025-03,0,21.85,2.56,"URBANCO,"
International Gemmological Institute (India) Ltd.,IGIL,Business Support,15542.62,NSE,360.10,-2.07,2,2025-06,,15419.97,2025-09,1174.43,510.83,2025-09,30.43,,11.37,2,2024-12,0,186.63,259.24,"IGIL,"
Indegene Ltd.,INDGN,Business Support,12562.91,NSE,523.10,-1.33,2,2025-09,,12073.11,2025-09,3041,445.8,2025-09,28.18,,4.38,2,2025-03,0,20.45,25.24,"INDGN,"
Rites Ltd.,RITES,Engineering Consultancy,11657.04,NSE,242.49,-0.96,2,2025-03,0,8281.92,2025-06,2221.79,411.68,2025-06,30.21,-3.36,4.27,2,2025-03,0,16.14,21.75,"RITES,"
Latent View Analytics Ltd.,LATENTVIEW,Business Support,9017.11,NSE,436.55,-7.21,2,2025-09,0.08,8830.3,2025-09,953.58,190.16,2025-09,47.31,,5.54,2,2025-03,0,12.12,16.41,"LATENTVIEW,"
VA Tech Wabag Ltd.,WABAG,Environmental Services,8655.16,NSE,1385.80,1.99,2,2025-09,236.5,8093.66,2025-09,3535.7,320,2025-09,27.02,1.02,3.73,2,2025-03,0.17,14.96,20.15,"WABAG,"
RattanIndia Enterprises Ltd.,RTNINDIA,Professional Services,6809.06,NSE,49.25,-0.93,2,2025-03,882.16,7560.54,2025-06,7539.85,-268.21,2025-06,0,0,4.78,2,2025-03,0.96,9.18,12.96,"RTNINDIA,"
Smartworks Coworking Spaces Ltd.,SMARTWORKS,Business Support,6589.62,NSE,578.60,-3.53,2,2025-09,253.53,6565.49,,,,2025-03,0,,12.94,2,2025-03,3.83,-82.19,52.26,"SMARTWORKS,"
CMS Info Systems Ltd.,CMSINFO,Business Support,5768.87,NSE,350.95,-1.17,2,2025-09,25.92,5590.17,2025-09,2436.59,357.68,2025-09,16.13,,2.47,2,2025-03,0,18.21,24.5,"CMSINFO,"
