Sector: Realty,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
DLF Ltd.,DLF,Construction - Real Estate,188086.56,NSE,759.45,0.15,2,2025-09,1531.94,187436.2,2025-09,9016.03,2462.47,2025-09,43.91,0.48,4.37,2,2025-03,0.09,6.57,5.88,"DLF,"
Lodha Developers Ltd.,LODHA,Construction - Real Estate,122651.95,NSE,1226.60,-0.48,2,2025-09,9615.7,130216.65,2025-09,15597.5,3333.6,2025-09,36.84,1.2,5.89,2,2025-03,0.36,15.16,15.93,"LODHA,"
Prestige Estates Projects Ltd.,PRESTIGE,Construction - Real Estate,74936.29,NSE,1738.60,0.78,2,2025-03,10600.2,83143.49,2025-06,7794.6,668.1,2025-06,142.09,32.74,4.76,2,2025-03,0.69,4.62,8.57,"PRESTIGE,"
Oberoi Realty Ltd.,OBEROIRLTY,Construction - Real Estate,65230.24,NSE,1792.90,0.70,2,2025-09,3016.01,66656.43,2025-09,5327.81,2211.77,2025-09,29.21,1.11,3.9,2,2025-03,0.21,15.06,18.16,"OBEROIRLTY,"
Godrej Properties Ltd.,GODREJPROP,Construction - Real Estate,64569.6,NSE,2142.70,-2.32,2,2025-09,16172.56,75423.95,2025-09,4265.55,1702,2025-09,41.66,1.07,3.53,2,2025-03,0.71,10.18,7.56,"GODREJPROP,"
The Phoenix Mills Ltd.,PHOENIXLTD,Construction - Real Estate,63370.72,NSE,1773.30,1.63,2,2025-09,4888.61,67404.4,2025-09,4059.88,1400.2,2025-09,58.77,2.42,5.87,2,2025-03,0.45,13.1,13.7,"PHOENIXLTD,"
NBCC (India) Ltd.,NBCC,Construction - Real Estate,30618,NSE,113.39,1.75,2,2025-03,0,24902.16,2025-06,12319.42,585.29,2025-06,53.84,1.06,11.71,2,2025-03,0,23.7,39.22,"NBCC,"
Brigade Enterprises Ltd.,BRIGADE,Construction - Real Estate,23918.04,NSE,980.00,-1.31,2,2025-09,5146.71,26705.14,2025-09,5588.84,813.67,2025-09,30.07,0.82,3.69,2,2025-03,0.94,14.94,13.82,"BRIGADE,"
Anant Raj Ltd.,ANANTRAJ,Construction - Real Estate,22314.17,NSE,619.85,-0.55,2,2025-09,488.86,22425.8,2025-09,2298.49,489.12,2025-09,45.27,0.64,4.14,2,2025-03,0.11,10.78,11.26,"ANANTRAJ,"
Aditya Birla Real Estate Ltd.,ABREL,Construction - Real Estate,19766.23,NSE,1769.30,-2.25,2,2025-09,5489.91,24530.12,2025-09,1594.86,-272.59,2025-09,0,,5.23,2,2025-03,1.31,-3.82,-1.74,"ABREL,"
Sobha Ltd.,SOBHA,Construction - Real Estate,18193.38,NSE,1701.20,2.83,2,2025-09,1010.42,17307.52,2025-09,4724.26,148.69,2025-09,122.36,-6.25,3.95,2,2025-03,0.25,2.68,6.49,"SOBHA,"
Signatureglobal (India) Ltd.,SIGNATURE,Construction - Real Estate,14848.47,NSE,1058.20,-1.61,2,2025-09,2561.69,15814.08,2025-09,2552.28,77.84,2025-09,190.93,,20.43,2,2025-03,3.26,14.96,5.56,"SIGNATURE,"
