Sector: Textile,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Page Industries Ltd.,PAGEIND,Textile,44317.63,NSE,39740.00,-0.05,1,2025-03,0,43846.25,2025-06,4973.95,764.71,2025-06,57.95,3.56,27.56,1,2025-03,0,48.54,68.24,"PAGEIND,"
K.P.R. Mill Ltd.,KPRMILL,Textile,36727.91,NSE,1070.90,-0.90,2,2025-09,345.46,35862.27,2025-09,6696.5,837.53,2025-09,43.85,2.63,6.87,2,2025-03,0.09,17.42,20.26,"KPRMILL,"
LMW Ltd.,LMW,Textile - Machinery,16810.18,NSE,15718.00,0.06,2,2025-09,,15401.03,2025-09,3086.08,119.51,2025-09,140.66,4.89,5.94,2,2025-03,0,3.74,5.52,"LMW,"
Vedant Fashions Ltd.,MANYAVAR,Textile,15546.36,NSE,639.50,-0.91,1,2025-09,,15539.92,2025-09,1423.06,385.42,2025-09,40.34,,9.03,2,2024-03,0,27.74,39.5,"MANYAVAR,"
Swan Corp Ltd.,SWANCORP,Textile,14708.96,NSE,468.90,7.63,2,2025-03,2823.49,15955.98,2025-06,5009.32,632.88,2025-06,23.15,0.13,2,2,2025-03,0.38,12.84,16.64,"SWANCORP,"
Trident Ltd.,TRIDENT,Textile - Spinning,14304.35,NSE,28.05,-0.04,2,2025-03,1575.78,15198.88,2025-06,6951.26,436.8,2025-06,32.8,19.07,3.01,2,2025-03,0.34,8.3,9.62,"TRIDENT,"
Vardhman Textiles Ltd.,VTL,Textile,12669.6,NSE,438.30,2.11,2,2025-09,1477.91,14042.61,2025-09,9839.63,797.07,2025-09,15.04,1.7,1.25,2,2025-03,0.13,9.34,11.31,"VTL,"
Welspun Living Ltd.,WELSPUNLIV,Textile,12411.43,NSE,129.48,1.78,2,2025-03,2468.62,14573.74,2025-06,10269.17,547.03,2025-06,22.93,3.74,2.54,2,2025-03,0.51,13.83,15.04,"WELSPUNLIV,"
Arvind Ltd.,ARVIND,Textile,8602.6,NSE,328.30,5.92,2,2025-09,1348.01,9854,2025-09,8687.36,423.85,2025-09,20.93,0.89,2.24,2,2025-03,0.36,10.04,13.98,"ARVIND,"
Alok Industries Ltd.,ALOKINDS,Textile,8505.46,NSE,17.13,-0.98,2,2025-09,26006.51,34352.48,2025-09,3690.4,-680.5,2025-09,0,0,-0.41,2,2025-03,-1.26,0,-3.17,"ALOKINDS,"
Garware Technical Fibres Ltd.,GARFIBRES,Textile,7323.34,NSE,737.90,-0.47,2,2025-09,128.83,7347.85,2025-09,1498.39,203.9,2025-09,35.92,3.42,5.64,2,2025-03,0.05,18.71,24.74,"GARFIBRES,"
Raymond Lifestyle Ltd.,RAYMONDLSL,Textile,7033.94,NSE,1153.20,0.21,2,2025-09,1475.69,8318.76,2025-09,6511.19,74.59,2025-09,94.3,,0.73,2,2025-03,0.13,0.4,2.46,"RAYMONDLSL,"
Pearl Global Industries Ltd.,PGIL,Textile,6262.71,NSE,1364.10,5.14,2,2025-03,551.55,6247.86,2025-06,4681.41,234.4,2025-06,24.97,0.4,5.18,2,2025-03,0.48,23.84,25.71,"PGIL,"
Gokaldas Exports Ltd.,GOKEX,Textile,6167.9,NSE,839.80,0.33,2,2025-03,643.33,6645.07,2025-06,3887.89,172.83,2025-06,35.69,0.49,3,2,2025-03,0.32,9.72,12.75,"GOKEX,"
Indo Count Industries Ltd.,ICIL,Textile,5463.33,NSE,275.05,0.77,2,2025-03,1217.58,6563.71,2025-06,4168.67,206,2025-06,26.52,6.39,2.36,2,2025-03,0.53,11.27,14.06,"ICIL,"
LS Industries Ltd.,LSIND,Textile - Weaving,4352.74,BSE,51.28,-4.98,1,2025-03,,4349.45,2025-06,0.29,1.62,2025-06,0,,107.91,1,2024-03,0,-5.29,-4.66,"LSIND,"
Sanathan Textiles Ltd.,SANATHAN,Textile - Spinning,4156.9,NSE,492.80,2.36,2,2025-09,1408.08,5435.81,2025-09,3038.64,138.37,2025-09,30.04,,2.25,2,2025-03,0.6,10.42,10.62,"SANATHAN,"
Kitex Garments Ltd.,KITEX,Textile,4049.85,NSE,202.66,2.34,2,2025-03,1082.5,5064.65,2025-06,989.06,128.36,2025-06,30.64,5.06,3.85,2,2025-03,1.05,14.01,11,"KITEX,"
Lux Industries Ltd.,LUXIND,Textile,3731.75,NSE,1243.00,0.57,2,2025-09,544.52,4237.48,2025-09,2753.41,125.82,2025-09,29.34,-20.52,2.13,2,2025-03,0.17,9.98,12.8,"LUXIND,"
Siyaram Silk Mills Ltd.,SIYSIL,Textile - Weaving,3549.98,NSE,781.90,-1.07,2,2025-09,372.73,3910.86,2025-09,2402.05,208.78,2025-09,17,0.73,2.63,2,2025-03,0.18,16.29,20.65,"SIYSIL,"
Jindal Worldwide Ltd.,JINDWORLD,Textile,3507.1,NSE,34.96,-0.77,2,2025-03,795.81,3997.21,2025-06,2340.54,75.24,2025-06,46.61,2.15,4.34,2,2025-03,1.01,10.05,10.23,"JINDWORLD,"
Bombay Dyeing And Manufacturing Company Ltd.,BOMDYEING,Textile,3227.11,NSE,156.42,-2.17,2,2025-09,3.04,3168.91,2025-09,1514.3,97.07,2025-09,33.16,-0.96,1.36,2,2025-03,0,23.09,29.18,"BOMDYEING,"
Kewal Kiran Clothing Ltd.,KKCL,Textile,3149.66,NSE,512.25,-0.03,2,2025-09,106.22,3080.03,2025-09,1131.13,135.71,2025-09,24.25,1.66,3.56,2,2025-03,0.13,19.95,25.87,"KKCL,"
Ganesha Ecosphere Ltd.,GANECOS,Textile - Manmade  Fibres,3097.75,NSE,1154.80,-1.65,2,2025-03,556.15,3532.16,2025-06,1466.12,91.4,2025-06,33.92,3.35,2.45,2,2025-03,0.5,9.69,10.99,"GANECOS,"
Filatex India Ltd.,FILATEX,Textile - Spinning,2692.87,NSE,60.68,1.34,2,2025-09,117.74,2753.12,2025-09,4274.04,176.43,2025-09,15.26,,1.91,2,2025-03,0.09,14.89,15.9,"FILATEX,"
Sangam (India) Ltd.,SANGAMIND,Textile,2369.13,NSE,471.45,1.04,2,2025-03,1134.69,3451.87,2025-06,2953.67,19.65,2025-06,120.57,5.37,2.35,2,2025-03,1.13,3.19,6.63,"SANGAMIND,"
Cantabil Retail India Ltd.,CANTABIL,Textile,2115.21,NSE,252.90,0.02,1,2025-09,33.02,2129.01,2025-09,776.6,78.33,2025-09,27,0.76,5.16,1,2025-03,0,20.81,36.94,"CANTABIL,"
Dollar Industries Ltd.,DOLLAR,Textile,1946.5,NSE,342.85,-1.20,2,2025-03,329.68,2275.77,2025-06,1775.85,96.1,2025-06,20.06,2.07,2.22,2,2025-03,0.39,11.27,13.43,"DOLLAR,"
Sumeet Industries Ltd.,SUMEETINDS,Textile - Spinning,1866.35,NSE,35.86,4.00,2,2025-03,70.78,1896.72,2025-06,985.15,186.71,2025-06,10,0.71,11.3,2,2025-03,0.38,0,65.12,"SUMEETINDS,"
Indo Rama Synthetics (India) Ltd.,INDORAMA,Textile - Manmade  Fibres,1779.49,NSE,68.63,1.79,2,2025-03,1125.91,2875.36,2025-06,4620.34,73.33,2025-06,24.27,1.63,4.23,2,2025-03,3.06,0.38,9.98,"INDORAMA,"
Nitin Spinners Ltd.,NITINSPIN,Textile - Spinning,1718.08,NSE,305.35,-1.66,1,2025-09,915.42,2627.86,2025-09,3233.56,166.92,2025-09,10.29,0.21,1.25,1,2025-03,0.89,14.28,13.19,"NITINSPIN,"
S.P. Apparels Ltd.,SPAL,Textile,1689.23,NSE,673.35,-3.38,2,2025-03,358.46,2006.4,2025-06,1553.26,98.42,2025-06,17.28,1.62,1.93,2,2025-03,0.42,11.74,14.53,"SPAL,"
Rupa & Company Ltd.,RUPA,Textile,1530.45,NSE,192.68,0.83,2,2025-03,225.53,1559.66,2025-06,1212.92,78.35,2025-06,19.53,3.19,1.5,2,2025-03,0.22,8.43,11.08,"RUPA,"
Himatsingka Seide Ltd.,HIMATSEIDE,Textile,1502.62,NSE,119.76,1.24,2,2025-03,2539.14,3927.06,2025-06,2699.67,66.4,2025-06,22.64,0.28,0.74,2,2025-03,1.25,4.25,7.46,"HIMATSEIDE,"
Monte Carlo Fashions Ltd.,MONTECARLO,Textile,1461.92,NSE,709.50,-0.67,2,2025-03,286.93,1713.38,2025-06,1112.94,78.22,2025-06,18.69,,1.79,2,2025-03,0.34,9.97,15.29,"MONTECARLO,"
Raj Rayon Industries Ltd.,RAJRILTD,Textile - Manmade  Fibres,1348.5,NSE,23.99,0.00,1,2025-03,237.43,1577.89,2025-06,907.35,23.36,2025-06,57.73,3.01,13.02,1,2025-03,1.94,15.28,6.78,"RAJRILTD,"
