Sector: Trading,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Adani Enterprises Ltd.,ADANIENT,Trading,273552.37,NSE,2369.40,2.38,2,2025-09,92064.92,356589.01,2025-09,93023.99,8253.33,2025-09,34.91,1.03,5.06,2,2025-03,1.65,17.85,15.26,"ADANIENT,"
Aegis Logistics Ltd.,AEGISLOG,Trading,26683.02,NSE,761.35,-0.68,2,2025-09,741.88,25035.77,2025-09,7425.45,896.71,2025-09,37.22,0.81,4.49,2,2025-03,0.62,18.47,17.66,"AEGISLOG,"
Elitecon International Ltd.,ELITECON,Trading,26367.26,BSE,164.95,-3.48,2,2025-09,375.53,26731.86,2025-09,3124.25,245.6,2025-09,114.5,,76.27,2,2025-03,0.01,85.3,84.18,"ELITECON,"
Redington Ltd.,REDINGTON,Trading,22823.9,NSE,292.00,0.71,2,2025-09,2419.91,23872.71,2025-09,108183.36,1903.88,2025-09,13.2,0.8,2.53,2,2025-03,0.3,22.38,27.57,"REDINGTON,"
Aditya Infotech Ltd.,CPPLUS,Trading,17991.8,NSE,1534.90,9.33,2,2025-03,464.9,18274.83,,,,2025-03,51.2,,7.69,2,2025-03,0.46,49.14,41.16,"CPPLUS,"
Cello World Ltd.,CELLO,Trading,14048.29,NSE,635.30,-1.23,2,2025-03,0.5,13961.18,2025-06,2164.74,356.09,2025-06,42.67,,6.25,2,2025-03,0,21.98,26.78,"CELLO,"
Lloyds Enterprises Ltd.,LLOYDSENT,Trading,10127.15,NSE,66.19,-0.76,2,2025-03,575.14,10526.18,2025-06,1496.01,344.46,2025-06,36.08,0.23,2.75,2,2025-03,0.23,6.32,8.1,"LLOYDSENT,"
Jeena Sikho Lifecare Ltd.,JSLL,Trading,9878.18,NSE,794.00,1.12,2,2025-09,0.61,9854.64,2023-03,204.75,33.52,2023-03,292.39,,,1,2025-03,0.04,39.04,51.64,"JSLL,"
MMTC Ltd.,MMTC,Trading,9801,NSE,65.32,-1.15,2,2025-03,0,8462.15,2025-06,3.4,74.59,2025-06,99.81,5.24,5.64,2,2025-03,0,5.21,6.9,"MMTC,"
Honasa Consumer Ltd.,HONASA,Trading,8900.49,NSE,273.95,-1.08,2,2025-03,0,8569.2,2025-06,2108.15,73.75,2025-06,120.68,,7.4,2,2025-03,0,6.52,8.99,"HONASA,"
Blue Pearl Agriventures Ltd.,BPAGRI,Trading,5506.8,BSE,91.39,5.00,1,2025-03,0.04,5506.46,2025-06,40.96,0.66,2025-06,0,0,90.68,1,2025-03,0,2.14,2.55,"BPAGRI,"
PDS Ltd.,PDSL,Trading,5218.48,NSE,367.50,-3.42,2,2025-09,1102.13,5313.78,2025-09,13069.24,184.54,2025-09,48.24,2.2,3.07,2,2025-03,0.69,17.59,17.22,"PDSL,"
Optiemus Infracom Ltd.,OPTIEMUS,Trading,5001.49,NSE,567.10,0.04,2,2025-03,129.33,4985.03,2025-06,1832.69,62.04,2025-06,76.1,3.39,7.54,2,2025-03,0.22,12.53,16.05,"OPTIEMUS,"
Entero Healthcare Solutions Ltd.,ENTERO,Trading,4752.26,NSE,1089.30,3.00,2,2025-03,298.81,4790.65,2025-06,5402.56,117.14,2025-06,46.35,,2.72,2,2025-03,0.17,6.4,9.16,"ENTERO,"
SG Mart Ltd.,SGMART,Trading,4415.04,NSE,350.35,0.85,2,2025-09,232.48,3563.48,2025-09,5788.34,120.03,2025-09,36.78,,2.89,2,2025-03,0.61,9.77,10.92,"SGMART,"
GNG Electronics Ltd.,EBGNG,Trading,3839.34,NSE,337.55,-1.83,2,2025-09,211.22,3893.92,,,,2025-03,55.78,,5.74,2,2025-03,1.97,35.44,20.14,"EBGNG,"
SIRCA Paints India Ltd.,SIRCA,Trading,2898.99,NSE,510.20,1.21,2,2025-03,50,2894.79,2025-06,409.55,53.05,2025-06,54.64,3.82,6.6,2,2025-03,0.14,14.91,18.54,"SIRCA,"
Rajesh Power Services Ltd.,RAJESH,Trading,2601.44,BSE,1433.00,1.76,1,2025-03,55.55,2654.84,2025-03,1072.07,87.3,2025-03,29.8,,10.15,2,2025-03,0.21,35.44,43.81,"RAJESH,"
