Sector: Automobile & Ancillaries,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Maruti Suzuki India Ltd.,MARUTI,Automobiles - Passenger Cars,486635.45,NSE,15479.00,0.17,2,2025-09,,485966.95,2025-09,160633.8,14537.6,2025-09,32.93,1.6,4.88,2,2025-03,0,15.95,21.78,"MARUTI,"
Mahindra & Mahindra Ltd.,M&M,Automobiles - Passenger Cars,459061.1,NSE,3690.20,1.98,2,2025-09,122655.09,559450.82,2025-09,175704.22,13812.64,2025-09,32.25,0.4,5.54,2,2025-03,1.63,19.73,15.12,"M&M,"
Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile Two & Three Wheelers,243629.92,NSE,8721.50,0.01,2,2025-09,19564.61,261389.49,2025-09,54683.29,9299.62,2025-09,29.25,4.15,7.13,2,2025-03,0.27,22.91,28.14,"BAJAJ-AUTO,"
Hyundai Motor India Ltd.,HYUNDAI,Automobiles - Passenger Cars,189244.88,NSE,2326.20,-1.16,2,2025-09,800.83,183257,2025-09,68461.97,5716.57,2025-09,33.1,,10.78,2,2025-03,0.05,41.84,54.08,"HYUNDAI,"
Eicher Motors Ltd.,EICHERMOT,Automobile Two & Three Wheelers,188889.77,NSE,6886.00,1.17,2,2025-03,266.47,188893.23,2025-06,19519.14,4155.84,2025-06,39.04,1.86,8.49,2,2025-03,0.01,24.18,30.02,"EICHERMOT,"
TVS Motor Company Ltd.,TVSMOTOR,Automobile Two & Three Wheelers,164313.63,NSE,3456.80,0.29,2,2025-09,30534.09,190122.65,2025-09,48937.9,2832.11,2025-09,62.72,2.25,20.25,2,2025-03,3.25,30.74,16.42,"TVSMOTOR,"
Tata Motors Passenger Vehicles Ltd.,TMPV,Automobiles - Passenger Cars,149373.77,NSE,405.70,-0.53,2,2025-03,62499,171038.77,2025-06,438935,21297,2025-06,7.05,0.18,1.25,2,2025-03,0.54,23.18,21.47,"TMPV,"
Cummins India Ltd.,CUMMINSIND,Diesel Engines,119031.07,NSE,4291.80,-0.56,2,2025-09,,117270.6,2025-09,11643.62,2043.41,2025-09,51.44,2.28,15.08,2,2025-03,0,28.22,36.55,"CUMMINSIND,"
Samvardhana Motherson International Ltd.,MOTHERSON,Auto Ancillary,109502.34,NSE,103.80,-0.12,2,2025-03,14643.6,117857.14,2025-06,115006.61,3110.92,2025-06,32.98,1.24,3.07,2,2025-03,0.42,13.58,15.36,"MOTHERSON,"
Bosch Ltd.,BOSCHLTD,Auto Ancillary,108605.17,NSE,36810.00,-0.57,2,2025-03,0,108097.27,2025-06,18559.2,2662.9,2025-06,40.75,3.2,7.27,2,2025-03,0,15.56,21.26,"BOSCHLTD,"
