Sector: Banking,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,TTM Ending (Results),Interest Earned (Rs Cr.),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Return On Equity(%),Net NPA Statement,Net NPA Year Ending,Net NPA (%),Net Interest Margin (%),Yield On Advances (%),Current A/c Savings A/c (%),Symbol with Comma for External Upload
HDFC Bank Ltd.,HDFCBANK,Bank - Private,1511375.21,NSE,982.30,-0.24,2,2025-09,346185.22,75078.88,2025-09,20.89,0.99,2.8,2,2025-03,15.12,1,2025-03,0.43,3.32,11.47,34.79,"HDFCBANK,"
ICICI Bank Ltd.,ICICIBANK,Bank - Private,960134.21,NSE,1343.00,1.71,2,2025-09,192684.91,56802.18,2025-09,18.01,0.45,2.91,2,2025-03,19.45,1,2025-03,0.42,3.99,12.17,41.84,"ICICIBANK,"
State Bank Of India,SBIN,Bank - Public,882400.89,NSE,955.85,-0.51,2,2025-09,505419.84,82247.87,2025-09,10.92,0.3,1.63,2,2025-03,18.66,1,2025-03,0.47,2.7,11.11,38.72,"SBIN,"
Kotak Mahindra Bank Ltd.,KOTAKBANK,Bank - Private,415454.66,NSE,2088.30,0.24,2,2025-09,67852.12,18423.64,2025-09,22.37,1.28,2.47,2,2025-03,15.28,1,2025-03,0.31,4.2,12.4,42.96,"KOTAKBANK,"
Axis Bank Ltd.,AXISBANK,Bank - Private,379617.07,NSE,1222.80,-0.46,2,2025-09,129272.6,26070.49,2025-09,14.61,0.2,1.91,2,2025-03,16.43,1,2025-03,0.35,3.54,11.79,40.77,"AXISBANK,"
Bank Of Baroda,BANKBARODA,Bank - Public,149504.08,NSE,289.05,0.94,2,2025-09,131099.39,18846,2025-09,7.77,0.09,0.94,2,2025-03,15.37,1,2025-03,0.58,2.65,10.04,37.82,"BANKBARODA,"
Punjab National Bank,PNB,Bank - Public,140731.09,NSE,122.38,1.59,2,2025-09,129502.98,15972.33,2025-09,8.26,0.07,1.05,2,2025-03,15.37,1,2025-03,0.4,2.48,11.3,36.61,"PNB,"
Canara Bank,CANBK,Bank - Public,127578.71,NSE,140.67,1.03,2,2025-09,125841.24,18960.42,2025-09,7.36,0.12,1.17,2,2025-03,19.05,1,2025-03,0.7,2.27,11.41,28.49,"CANBK,"
Indian Bank,INDIANB,Bank - Public,117684.24,NSE,873.95,0.94,2,2025-09,64543.17,11096.58,2025-09,10.44,0.16,1.69,2,2025-03,18.54,1,2025-03,0.19,2.96,10.86,38.37,"INDIANB,"
Union Bank Of India,UNIONBANK,Bank - Public,117023.17,NSE,153.30,2.10,2,2025-09,109143.51,18016.23,2025-09,6.33,0.09,0.99,2,2025-03,18.05,1,2025-03,0.63,2.59,11.3,32.55,"UNIONBANK,"
IDBI Bank Ltd.,IDBI,Bank - Private,108061.64,NSE,100.42,3.25,2,2025-09,28937.85,9265.74,2025-09,11.64,0.55,1.88,2,2025-03,16.1,1,2025-03,0.15,3.85,13.23,46.56,"IDBI,"
