Sector: Diversified,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
3M India Ltd.,3MINDIA,Diversified,40117.84,NSE,35580.00,-0.59,1,2025-09,,39498.38,2025-09,4750.65,554.16,2025-09,72.39,7.42,24.91,2,2024-03,0,30.51,41.02,"3MINDIA,"
DCM Shriram Ltd.,DCMSHRIRAM,Diversified,19390.64,NSE,1243.90,1.13,2,2025-09,2062.46,20140.31,2025-09,13425.82,713.59,2025-09,27.22,-7.42,2.68,2,2025-03,0.34,8.94,11.79,"DCMSHRIRAM,"
Balmer Lawrie & Company Ltd.,BALMLAWRIE,Diversified,3328.59,NSE,194.66,-2.28,2,2025-09,145.78,3181.22,2025-09,2554.66,197.36,2025-09,12.56,1.19,1.71,2,2025-03,0.04,10.28,15.34,"BALMLAWRIE,"
TTK Healthcare Ltd.,TTKHLTCARE,Diversified,1641.24,NSE,1153.30,1.76,1,2025-09,24.57,1064.92,2025-09,825.1,66.27,2025-09,24.77,0.59,1.52,1,2025-03,0.02,7.94,10.63,"TTKHLTCARE,"
Empire Industries Ltd.,EMPIND,Diversified,631.35,BSE,1047.00,-1.39,1,2025-03,142.93,642.49,2025-06,692.11,34.39,2025-06,18.36,-6.78,1.95,1,2025-03,0.46,11.22,14.68,"EMPIND,"
Gillanders Arbuthnot & Company Ltd.,GILLANDERS,Diversified,253.33,NSE,119.08,-0.64,2,2025-03,139.02,391.51,2025-06,446.7,31.09,2025-06,8.15,0.4,1.06,2,2025-03,0.57,11.55,10.22,"GILLANDERS,"
TCI Industries Ltd.,TCIIND,Diversified,128.66,BSE,1434.65,2.48,1,2025-03,2.06,130.46,2025-06,2.96,-2.3,2025-06,0,,66.14,1,2025-03,0.18,-97.8,-16.69,"TCIIND,"
BIL Vyapar Ltd.,BILVYAPAR,Diversified,35.13,NSE,11.30,2.17,2,2025-03,173.46,208.24,2025-06,0,-2.03,2025-06,0,0,-0.19,2,2025-03,-0.93,0,0,"BILVYAPAR,"
Vishvprabha Ventures Ltd.,VISVEN,Diversified,20.66,BSE,66.25,-0.08,2,2025-03,16.4,36.85,2025-06,11.9,-0.65,2025-06,0,,2.78,2,2025-03,2.01,-0.38,7.85,"VISVEN,"
BNR Udyog Ltd.,BNRUDY,Diversified,13.92,BSE,46.40,4.91,1,2025-03,0,13.88,2025-06,1.45,0.16,2025-06,84.36,,1.4,1,2025-03,0,-5.51,-10.02,"BNRUDY,"
Niraj Ispat Industries Ltd.,NIRAJISPAT,Diversified,13.7,NSE,228.39,-1.54,1,2025-03,4.56,18.24,2025-06,3.76,1.46,2025-06,9.36,0.45,0.93,1,2024-03,0.11,6.45,7.96,"NIRAJISPAT,"
Finelistings Technologies Ltd.,FTL,Diversified,9.12,BSE,25.08,,1,2025-03,0.69,9.7,2025-03,19.15,-3.77,2025-03,0,,0.64,1,2025-03,0.05,-38.87,-32.58,"FTL,"
