Sector: Healthcare,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Pharmaceuticals & Drugs,406147.43,NSE,1691.40,0.33,2,2025-09,4685.92,398575.93,2025-09,54964.01,10517.89,2025-09,38.87,1.65,5.22,2,2025-03,0.03,16.16,19.89,"SUNPHARMA,"
Divi's Laboratories Ltd.,DIVISLAB,Pharmaceuticals & Drugs,176707.83,NSE,6656.50,-3.30,2,2025-09,89,173535.83,2025-09,10029,2485,2025-09,71.11,7.3,11.46,2,2025-03,0,15.35,20.45,"DIVISLAB,"
Cipla Ltd.,CIPLA,Pharmaceuticals & Drugs,121525.14,NSE,1505.70,0.28,2,2025-09,94.26,120823.55,2025-09,28349.57,5453.86,2025-09,22.33,0.8,3.69,2,2025-03,0,18.34,23.64,"CIPLA,"
Torrent Pharmaceuticals Ltd.,TORNTPHARM,Pharmaceuticals & Drugs,121146.55,NSE,3580.00,0.75,2,2025-09,2590,123031.55,2025-09,12248,2140,2025-09,56.61,4.2,14.34,2,2025-03,0.4,26.46,27.32,"TORNTPHARM,"
Max Healthcare Institute Ltd.,MAXHEALTH,Hospital & Healthcare Services,110436.34,NSE,1135.30,0.88,2,2025-03,2488.83,112243.28,2025-06,7513.08,1147.58,2025-06,96.23,1.19,11.54,2,2025-03,0.27,12.22,14.67,"MAXHEALTH,"
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Hospital & Healthcare Services,109825.6,NSE,7642.00,-1.80,2,2025-09,5341.1,113900.8,2025-09,23264.7,1693.2,2025-09,65.69,1.88,12.09,2,2025-03,0.67,20.51,21.19,"APOLLOHOSP,"
Dr. Reddy's Laboratories Ltd.,DRREDDY,Pharmaceuticals & Drugs,100596,NSE,1205.40,0.02,2,2025-09,4495.6,103045.2,2025-09,34310,5721.4,2025-09,17.43,0.76,2.79,2,2025-03,0.14,18.61,23.25,"DRREDDY,"
Zydus Lifesciences Ltd.,ZYDUSLIFE,Pharmaceuticals & Drugs,94968.36,NSE,944.10,0.79,2,2025-09,9593.9,101779.76,2025-09,24493.9,4973.4,2025-09,19.3,0.73,3.75,2,2025-03,0.13,21.08,26.06,"ZYDUSLIFE,"
Mankind Pharma Ltd.,MANKIND,Pharmaceuticals & Drugs,93419.63,NSE,2261.80,-2.05,2,2025-09,8304.93,101165.28,2025-09,13576.88,1767.06,2025-09,53.36,,6.11,2,2025-03,0.58,16.98,18.32,"MANKIND,"
Lupin Ltd.,LUPIN,Pharmaceuticals & Drugs,90050.66,NSE,1971.80,0.83,2,2025-09,5778.46,92788.9,2025-09,24750.69,4347.53,2025-09,20.82,0.44,4.59,2,2025-03,0.3,21.13,21.97,"LUPIN,"
