Sector: Hospitality,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
The Indian Hotels Company Ltd.,INDHOTEL,"Hotel, Resort & Restaurants",98522.86,NSE,691.30,-0.82,2,2025-09,278.55,97896.41,2025-09,9040.16,1789.43,2025-09,58.44,1.48,8.52,2,2025-03,0.02,19.03,26.41,"INDHOTEL,"
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,Travel Services,56324,NSE,704.15,0.11,2,2025-03,0,54161.96,2025-06,4716.86,1337.89,2025-06,42.1,,14.1,2,2025-03,0,38.15,51.48,"IRCTC,"
ITC Hotels Ltd.,ITCHOTELS,"Hotel, Resort & Restaurants",43299.92,NSE,207.91,-1.46,2,2025-09,7.17,41800.43,2025-03,3559.81,621.77,2025-03,67.91,,3.92,2,2025-03,0,12.33,9.67,"ITCHOTELS,"
EIH Ltd.,EIHOTEL,"Hotel, Resort & Restaurants",24545.54,NSE,392.25,0.23,2,2025-03,0,23633.41,2025-06,2790.19,648.13,2025-06,36.04,0.94,5.29,2,2025-03,0,18,24.54,"EIHOTEL,"
Chalet Hotels Ltd.,CHALET,"Hotel, Resort & Restaurants",20025.02,NSE,915.85,-1.43,2,2025-09,2441.71,22293.32,2025-09,2609.62,578.31,2025-09,34.62,5.82,5.86,2,2025-03,0.84,5.85,11.41,"CHALET,"
TBO Tek Ltd.,TBOTEK,Travel Services,17363.19,NSE,1600.00,1.36,2,2025-09,605.31,16035.84,2025-09,1947.1,239.4,2025-09,72.53,,12.53,2,2025-03,0.12,27.16,30.58,"TBOTEK,"
Travel Food Services Ltd.,TRAVELFOOD,Restaurants,16983.36,NSE,1290.00,-0.42,2,2025-03,0,16945.84,,,,2025-03,46.77,,5.41,2,2025-03,0,39.4,55.26,"TRAVELFOOD,"
Ventive Hospitality Ltd.,VENTIVE,"Hotel, Resort & Restaurants",16829.01,NSE,720.70,-0.33,2,2025-03,2305.47,18612.15,2025-03,1604.7,181.03,2025-03,139.9,,3.47,2,2025-03,0.48,3.43,7.8,"VENTIVE,"
Leela Palaces Hotels & Resorts Ltd.,THELEELA,"Hotel, Resort & Restaurants",14649.06,NSE,436.60,3.48,2,2025-09,1460.51,15043.81,,,,2025-03,306.29,,2.39,2,2025-03,1.1,13.04,12.63,"THELEELA,"
BLS International Services Ltd.,BLS,Travel Services,12945.13,NSE,313.95,-1.71,2,2025-03,204.52,12408.89,2025-06,2411.2,599.84,2025-06,22.91,0.51,6.83,2,2025-03,0.12,36.96,41.51,"BLS,"
Lemon Tree Hotels Ltd.,LEMONTREE,"Hotel, Resort & Restaurants",12893.81,NSE,162.71,-2.01,2,2025-03,1698.64,14511.78,2025-06,1333.83,271.91,2025-06,59.94,0.69,10.63,2,2025-03,1.46,22.83,17.75,"LEMONTREE,"
Le Travenues Technology Ltd.,IXIGO,Travel Services,10952.77,NSE,280.40,1.50,2,2025-09,6.32,10700.5,2025-09,1123.11,56.75,2025-09,227.48,,15.99,2,2025-03,0.05,11.97,14.59,"IXIGO,"
Westlife Foodworld Ltd,WESTLIFE,Restaurants,8978.02,NSE,574.95,-1.72,2,2025-09,283.63,9247.38,2025-09,2556.35,37.47,2025-09,239.59,18.39,14.41,2,2025-03,0.52,2.07,16.12,"WESTLIFE,"
Thomas Cook (India) Ltd.,THOMASCOOK,Travel Services,7326.18,NSE,155.80,1.57,2,2025-03,240.56,6563.18,2025-06,8441.59,255,2025-06,29.18,0.31,4.23,2,2025-03,0.14,16.67,26.65,"THOMASCOOK,"
Mahindra Holidays & Resorts India Ltd.,MHRIL,"Hotel, Resort & Restaurants",6446.36,NSE,318.75,-1.82,2,2025-09,1166.87,7500.44,2025-09,2876,133.43,2025-09,48.24,1.99,-19.87,2,2025-03,-3.29,0,58.83,"MHRIL,"
Juniper Hotels Ltd.,JUNIPER,"Hotel, Resort & Restaurants",5766.15,NSE,259.80,-0.29,2,2025-03,1020.67,6768.91,2025-06,965.32,68.62,2025-06,84.03,,2.11,2,2025-03,0.37,2.65,7.07,"JUNIPER,"
India Tourism Development Corporation Ltd.,ITDC,"Hotel, Resort & Restaurants",5057.82,NSE,590.40,-1.12,2,2025-03,0.63,4838.15,2025-06,590.76,79.43,2025-06,63.55,1.81,13.54,2,2025-03,0,24.29,29.74,"ITDC,"
Samhi Hotels Ltd.,SAMHI,"Hotel, Resort & Restaurants",4292.51,NSE,193.71,-0.98,2,2025-09,1610.67,5806.85,2025-09,1179.76,193.11,2025-09,24.07,,2.41,2,2025-03,1.9,7.99,9.07,"SAMHI,"
Restaurant Brands Asia Ltd.,RBA,Restaurants,3842.02,NSE,65.93,-1.48,2,2025-09,213.47,4012.57,2025-09,2672.75,-223.91,2025-09,0,,4.78,2,2025-03,0.34,-31.48,-7.19,"RBA,"
Wonderla Holidays Ltd.,WONDERLA,Amusement Parks/Recreation/Club,3589.41,NSE,564.55,0.64,1,2025-09,0.44,3397.2,2025-09,466.69,82.14,2025-09,43.7,2.69,2.04,1,2025-03,0,7.78,8.18,"WONDERLA,"
Apeejay Surrendra Park Hotels Ltd.,PARKHOTELS,"Hotel, Resort & Restaurants",3157.94,NSE,148.02,1.96,2,2025-03,73.2,3209.71,2025-06,650.63,98.9,2025-06,31.93,,2.45,2,2025-03,0.06,6.76,12.73,"PARKHOTELS,"
Brigade Hotel Ventures Ltd.,BRIGHOTEL,"Hotel, Resort & Restaurants",3073.69,NSE,80.81,-0.35,2,2025-09,203.07,2962.76,,,,2025-03,152.24,,3.38,2,2025-03,7.85,0,17.27,"BRIGHOTEL,"
Easy Trip Planners Ltd.,EASEMYTRIP,Travel Services,2920.39,NSE,8.03,0.12,2,2025-03,34.81,2811.92,2025-06,548.51,75.81,2025-06,38.33,1.44,3.28,2,2025-03,0.05,16.4,21.68,"EASEMYTRIP,"
Imagicaaworld Entertainment Ltd.,IMAGICAA,Amusement Parks/Recreation/Club,2868.92,NSE,50.65,-1.63,2,2025-09,193.75,3009.44,2025-09,376.17,24.35,2025-09,117.8,6.91,2.28,2,2025-03,0.14,7.92,7.51,"IMAGICAA,"
Taj GVK Hotels & Resorts Ltd.,TAJGVK,"Hotel, Resort & Restaurants",2578.29,NSE,411.40,0.56,2,2025-09,38.6,2538.28,2025-09,465.27,122.22,2025-09,17.83,0.54,3.73,2,2025-03,0,15.77,21.7,"TAJGVK,"
EIH Associated Hotels Ltd.,EIHAHOTELS,"Hotel, Resort & Restaurants",2277.19,NSE,373.15,-0.53,1,2025-03,0,2207.25,2025-06,412.5,94.44,2025-06,24.11,1.2,4.2,1,2025-03,0,18.38,24.76,"EIHAHOTELS,"
Yatra Online Ltd,YATRA,Travel Services,2271.36,NSE,143.61,1.80,2,2025-03,54.59,2227.27,2025-06,900.45,48.53,2025-06,46.81,,2.84,2,2025-03,0.07,4.78,5.5,"YATRA,"
Oriental Hotels Ltd.,ORIENTHOT,"Hotel, Resort & Restaurants",2172.66,NSE,121.36,1.07,2,2025-09,153.79,2318.26,2025-09,472.56,54.21,2025-09,43.95,0.9,3.14,2,2025-03,0.22,6.5,9.91,"ORIENTHOT,"
Delta Corp Ltd.,DELTACORP,Amusement Parks/Recreation/Club,1975.35,NSE,73.75,-1.81,2,2025-09,,1893.3,2025-09,743.91,270.91,2025-09,7.75,-0.5,0.87,2,2025-03,0,12.36,16,"DELTACORP,"
