Sector: Information Technology,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Tata Consultancy Services Ltd.,TCS,IT - Software,1082658.42,NSE,2991.80,-0.63,2,2025-09,,1068205.42,2025-09,257688,49687,2025-09,21.9,2.59,10.24,2,2025-03,0,52.94,71.74,"TCS,"
Infosys Ltd.,INFY,IT - Software,613750.48,NSE,1476.80,0.69,2,2025-09,,581918.48,2025-09,169458,28159,2025-09,21.82,2.18,5.94,2,2025-03,0,29.4,41.35,"INFY,"
HCL Technologies Ltd.,HCLTECH,IT - Software,410387.57,NSE,1512.40,-0.92,2,2025-09,2359,388998.57,2025-09,122427,16983,2025-09,24.17,2.55,5.76,2,2025-03,0.03,25.4,33.54,"HCLTECH,"
Eternal Ltd.,ETERNAL,e-Commerce,295252.48,NSE,306.10,0.15,2,2025-09,,294445.48,2025-09,31995,188,2025-09,0,,9.56,2,2025-03,0,2.16,3.36,"ETERNAL,"
Wipro Ltd.,WIPRO,IT - Software,247950.29,NSE,236.49,-1.48,2,2025-09,12850.7,247717.29,2025-09,89654.9,13503.9,2025-09,18.37,2.96,2.9,2,2025-03,0.2,16.99,20.27,"WIPRO,"
LTIMindtree Ltd.,LTIM,IT - Software,165103,NSE,5567.50,-1.50,2,2025-09,,162117.6,2025-09,39667.5,4851.1,2025-09,33.91,1.37,7.05,2,2025-03,0,21.84,30.37,"LTIM,"
Tech Mahindra Ltd.,TECHM,IT - Software,135887.37,NSE,1386.70,-1.90,2,2025-09,268.5,131869.27,2025-09,54015.7,4458.1,2025-09,30.3,28.58,4.93,2,2025-03,0.02,15.9,20.43,"TECHM,"
Swiggy Ltd.,SWIGGY,e-Commerce,100144.86,NSE,401.40,-0.63,2,2025-09,127,98541.86,2025-09,18925.09,-4164.91,2025-09,0,,10.2,2,2025-03,0,0,-33.05,"SWIGGY,"
Persistent Systems Ltd.,PERSISTENT,IT - Software,91180.29,NSE,5781.00,-1.04,2,2025-09,,89976.97,2025-09,13218.7,1665.16,2025-09,54.76,1.67,12.76,2,2025-03,0,26.22,32.91,"PERSISTENT,"
Info Edge (India) Ltd.,NAUKRI,BPO/ITeS,87251.48,NSE,1345.40,1.40,2,2025-03,1.27,86985.62,2025-06,2963.71,1507.47,2025-06,85.11,2.54,2.49,2,2025-03,0,4.04,6.08,"NAUKRI,"
One97 Communications Ltd.,PAYTM,Fintech,86115.55,NSE,1346.50,1.96,2,2025-09,15,75009.55,2025-09,7717.8,-608.5,2025-09,0,,5.61,2,2025-03,0,-5.52,-4.43,"PAYTM,"
PB Fintech Ltd.,POLICYBZR,Fintech,82579.85,NSE,1783.80,1.50,2,2025-09,,82199.49,2025-09,5761.03,457.75,2025-09,178.9,,12.18,2,2025-03,0,6.55,6.85,"POLICYBZR,"
FSN E-Commerce Ventures Ltd.,NYKAA,e-Commerce,70381.06,NSE,245.87,-0.11,2,2025-09,989.85,71157.24,2025-09,8829.89,103.47,2025-09,675.77,,50.71,2,2025-03,0.76,5.9,11.21,"NYKAA,"
Oracle Financial Services Software Ltd.,OFSS,IT - Software,70292.8,NSE,8076.50,-1.66,2,2025-09,,65449.7,2025-09,7072.5,2373.2,2025-09,29.62,2.9,9.54,2,2025-03,0,29.88,40.83,"OFSS,"
Coforge Ltd.,COFORGE,IT - Software,58254.25,NSE,1740.20,-1.34,2,2025-09,608.2,58332.05,2025-09,14402.4,1273.4,2025-09,49.79,3.97,8.45,2,2025-03,0.11,19.7,25.68,"COFORGE,"
Mphasis Ltd.,MPHASIS,IT - Software,52160.87,NSE,2736.00,-1.37,2,2025-09,1220.58,51765.67,2025-09,14905.78,1787.04,2025-09,29.22,3.89,5.42,2,2025-03,0.12,18.98,23.01,"MPHASIS,"
L&T Technology Services Ltd.,LTTS,IT - Software,43308.9,NSE,4089.20,-0.28,2,2025-09,,41817.1,2025-09,11480.9,1275,2025-09,33.89,3.72,7,2,2025-03,0,22.52,31.51,"LTTS,"
Hexaware Technologies Ltd.,HEXT,IT - Software,40962.42,NSE,672.45,-3.87,2,2025-06,,39042.52,2025-09,13106.6,1397.4,2025-09,29.34,2.36,6.63,2,2024-12,0,23.75,32.65,"HEXT,"
Tata Elxsi Ltd.,TATAELXSI,IT - Software,32275.02,NSE,5180.00,-1.19,1,2025-09,,31005.76,2025-09,3657.71,670.62,2025-09,48.13,1.92,11.94,1,2025-03,0,29.45,39.09,"TATAELXSI,"
KPIT Technologies Ltd.,KPITTECH,IT - Software,31610.15,NSE,1153.00,-0.53,2,2025-03,1.53,30343.61,2025-06,6016.48,808.99,2025-06,39.15,0.97,10.53,2,2025-03,0,34.01,46.04,"KPITTECH,"
Inventurus Knowledge Solutions Ltd.,IKS,BPO/ITeS,28493.15,NSE,1660.20,-0.44,2,2025-09,641.63,28905.69,2025-09,2902.3,611.15,2025-09,46.73,,12.71,2,2025-03,0.42,33.55,28.65,"IKS,"
Tata Technologies Ltd.,TATATECH,IT - Software,27310.49,NSE,672.95,-0.58,2,2025-09,,26838.05,2025-09,5170.65,679.12,2025-09,39.39,,7.66,2,2025-03,0,19.97,27.68,"TATATECH,"
Affle 3i Ltd.,AFFLE,BPO/ITeS,24559.43,NSE,1747.20,-1.73,2,2025-09,35.13,23534.71,2025-09,2471.38,419.3,2025-09,58.57,1.39,7.54,2,2025-03,0.03,14.11,16.85,"AFFLE,"
Firstsource Solutions Ltd.,FSL,BPO/ITeS,24098.5,NSE,340.45,-3.09,2,2025-09,1376.88,25242.6,2025-09,8793.7,669.83,2025-09,35.98,3.11,5.51,2,2025-03,0.38,15.54,17.53,"FSL,"
eClerx Services Ltd.,ECLERX,BPO/ITeS,20444.86,NSE,4279.50,-6.35,2,2025-09,,19626.5,2025-09,3691.51,614.73,2025-09,33.29,1.59,7.79,2,2025-03,0,24.28,33.15,"ECLERX,"
Brainbees Solutions Ltd.,FIRSTCRY,e-Commerce,17597.19,NSE,337.20,-2.08,2,2025-03,553.27,16444.89,2025-06,7870.1,-255.62,2025-06,0,,4.4,2,2025-03,0.14,-8.05,-1.65,"FIRSTCRY,"
Zensar Technologies Ltd.,ZENSARTECH,IT - Software,15895.8,NSE,697.65,-0.82,2,2025-09,,15078.8,2025-09,5490.8,700.4,2025-09,22.7,1.15,3.71,2,2025-03,0,17.23,22.93,"ZENSARTECH,"
Intellect Design Arena Ltd.,INTELLECT,IT - Software,15734.62,NSE,1132.70,-0.04,2,2025-09,0.56,15350.6,2025-09,2795.31,404.31,2025-09,39.11,0.42,5.32,2,2025-03,0,13.42,17.28,"INTELLECT,"
Indiamart Intermesh Ltd.,INDIAMART,e-Commerce,14703.97,NSE,2447.50,-1.04,2,2025-09,,14668.27,2025-09,1472.5,590.5,2025-09,27.34,0.91,6.88,2,2025-03,0,28.63,36.38,"INDIAMART,"
CarTrade Tech Ltd.,CARTRADE,e-Commerce,13855.41,NSE,2895.10,0.89,2,2025-09,,13763.99,2025-09,712.18,202.78,2025-09,74.07,,5.95,2,2025-03,0,7.65,8.41,"CARTRADE,"
Newgen Software Technologies Ltd.,NEWGEN,IT - Software,13481.76,NSE,947.95,-0.76,2,2025-09,,13085.73,2025-09,1532.45,328.8,2025-09,41,1.2,8.46,2,2025-03,0,23.97,29.67,"NEWGEN,"
Cyient Ltd.,CYIENT,IT - Software,12344.92,NSE,1112.70,-2.58,2,2025-09,166.1,11084.82,2025-09,7328.4,626.6,2025-09,21.51,1.73,2.22,2,2025-03,0.04,13.74,18.91,"CYIENT,"
Birlasoft Ltd.,BSOFT,IT - Software,10540.07,NSE,378.25,1.42,2,2025-09,9.88,10107.69,2025-09,5293.39,461.58,2025-09,22.83,1.26,2.85,2,2025-03,0,16.33,22.05,"BSOFT,"
Sonata Software Ltd.,SONATSOFTW,IT - Software,10323.84,NSE,367.80,0.53,2,2025-03,441.56,10315.97,2025-06,10595,428.37,2025-06,24.1,2.7,5.74,2,2025-03,0.26,27.55,30.22,"SONATSOFTW,"
CE Info Systems Ltd.,MAPMYINDIA,IT - Software,9926.51,NSE,1815.50,2.88,2,2025-03,27.62,9815.84,2025-06,483.37,162.65,2025-06,63.05,,12.04,2,2025-03,0.04,20.79,27.92,"MAPMYINDIA,"
Nazara Technologies Ltd.,NAZARA,IT - Software,9817.32,NSE,265.05,1.20,2,2025-03,141.27,9500.42,2025-06,1872.6,113.26,2025-06,76.9,0.72,2.84,2,2025-03,0.05,2.57,3.54,"NAZARA,"
Tanla Platforms Ltd.,TANLA,IT - Software,8111.54,NSE,611.85,0.90,2,2025-09,,7296.69,2025-09,4143.93,479.3,2025-09,16.92,0.44,3.59,2,2025-03,0,24.35,30.16,"TANLA,"
RateGain Travel Technologies Ltd.,RATEGAIN,IT - Software,7918.43,NSE,671.75,-1.53,2,2025-03,0,7568.8,2025-06,1089.57,210.49,2025-06,37.62,,4.62,2,2025-03,0,13.47,17.57,"RATEGAIN,"
Happiest Minds Technologies Ltd.,HAPPSTMNDS,IT - Software,7531.51,NSE,494.60,-1.17,2,2025-09,1198.59,7792.7,2025-09,2198.85,195.25,2025-09,38.57,2.08,4.63,2,2025-03,0.74,12.1,15.24,"HAPPSTMNDS,"
Mastek Ltd.,MASTEK,IT - Software,6513.22,NSE,2099.60,-0.65,2,2025-09,521.59,6513.05,2025-09,3630.02,365.28,2025-09,17.83,0.75,2.43,2,2025-03,0.23,16.7,17.93,"MASTEK,"
