Sector: Media & Entertainment,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Sun TV Network Ltd.,SUNTV,TV Broadcasting & Software Production,21840.17,NSE,554.25,0.97,2,2025-03,0,21417.08,2025-06,3992.97,1683.65,2025-06,13.06,2.75,1.79,2,2025-03,0,15.36,20.11,"SUNTV,"
Prime Focus Ltd.,PFOCUS,"Film Production, Distribution & Entertainment",13413.94,NSE,172.96,-2.23,2,2025-03,4092.84,17292.65,2025-06,3808.58,-189.75,2025-06,0,0,4.54,2,2025-03,7.31,-102.82,2.74,"PFOCUS,"
PVR Inox Ltd.,PVRINOX,"Film Production, Distribution & Entertainment",11329.82,NSE,1153.20,0.90,2,2025-09,1298,11957.22,2025-09,6259.2,-38.2,2025-09,0,,1.59,2,2025-03,0.21,-3.92,4.95,"PVRINOX,"
Zee Entertainment Enterprises Ltd.,ZEEL,TV Broadcasting & Software Production,9494.73,NSE,98.80,-1.01,2,2025-09,166.5,8597.03,2025-09,7956.9,572,2025-09,16.59,8.42,0.82,2,2025-03,0.01,6.14,8.5,"ZEEL,"
Saregama India Ltd.,SAREGAMA,"Film Production, Distribution & Entertainment",7891.69,NSE,409.10,-4.05,2,2025-09,1,7489.92,2025-09,1161.05,202.54,2025-09,38.9,1.1,5.09,2,2025-03,0,14.56,19.9,"SAREGAMA,"
Network 18 Media & Investments Ltd.,NETWORK18,TV Broadcasting & Software Production,7339.92,NSE,47.64,0.74,2,2025-09,3032.93,10366.36,2025-09,2887.49,-1595.09,2025-09,0,0,1.49,2,2025-03,0.59,-18.31,-8.61,"NETWORK18,"
Tips Music Ltd.,TIPSMUSIC,"Film Production, Distribution & Entertainment",6327.02,NSE,495.00,-2.72,1,2025-09,,6315.53,2025-09,333.45,173.87,2025-09,36.39,0.51,24.59,1,2025-03,0,85.63,114.89,"TIPSMUSIC,"
D.B. Corp Ltd.,DBCORP,Printing And Publishing,4608.46,NSE,258.05,-1.39,2,2025-09,56.13,3839.5,2025-09,2364.17,344.84,2025-09,13.36,2.17,2,2,2025-03,0.03,16.7,23.12,"DBCORP,"
MPS Ltd.,MPSLTD,Printing And Publishing,3833.24,NSE,2246.50,-1.07,2,2025-03,0,3748.95,2025-06,732.45,158.26,2025-06,24.22,1.26,7.48,2,2025-03,0,31.8,43.04,"MPSLTD,"
Navneet Education Ltd.,NAVNETEDUL,Printing And Publishing,3375.71,NSE,152.52,-1.41,2,2025-03,124.77,3458.51,2025-06,1781.91,215.63,2025-06,15.8,-6.55,1.7,2,2025-03,0.07,51.4,54.91,"NAVNETEDUL,"
City Pulse Multiventures Ltd.,CPML,"Film Production, Distribution & Entertainment",3174.52,BSE,2979.50,-0.93,2,2025-03,2.3,3173.87,2025-03,2.81,1.34,2025-03,0,,34.56,2,2025-03,0.03,1.48,1.65,"CPML,"
