Sector: Miscellaneous,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Aegis Vopak Terminals Ltd.,AEGISVOPAK,Miscellaneous,28868.72,NSE,260.15,0.74,2,2025-09,439.57,29251.99,2025-03,621.08,127.23,2025-03,226.9,,6.73,2,2025-03,1.69,12.48,10.06,"AEGISVOPAK,"
Rubicon Research Ltd.,RUBICON,Miscellaneous,10330.67,NSE,627.20,-1.77,1,2025-03,393.17,10607.61,,,,2025-03,61.66,,9.05,2,2025-03,0.76,30.68,26.97,"RUBICON,"
Wework India Management Ltd.,WEWORK,Miscellaneous,8485.01,NSE,631.90,0.83,1,2025-03,310.22,8768.5,,,,2025-03,65.02,,56.78,2,2025-03,2.22,0,126.34,"WEWORK,"
Prabha Energy Ltd.,PRABHA,Miscellaneous,2820.25,NSE,204.78,-0.64,2,2025-09,146.9,2959.84,2025-09,4.94,-1.5,2025-09,0,,6.48,2,2025-03,0.29,-0.32,-0.35,"PRABHA,"
Qualitek Labs Ltd.,QLL,Miscellaneous,470.51,BSE,403.80,0.00,1,2025-03,50.29,515.63,2025-03,45.86,5.28,2025-03,89.06,,3.41,2,2025-03,0.58,17.53,16.27,"QLL,"
Modi Rubber Ltd.,MODIRUBBER,Miscellaneous,303.24,NSE,120.47,-1.71,2,2025-03,17.24,309.15,2025-06,30.96,-10.79,2025-06,16.35,0.27,0.56,2,2025-03,0.03,3.89,4.41,"MODIRUBBER,"
Vaarad Ventures Ltd.,VAARAD,Miscellaneous,274.14,BSE,10.69,-1.11,2,2025-03,3.59,277.7,2025-06,0.1,-0.15,2025-06,0,0,12.33,2,2025-03,0.16,-1.04,-0.9,"VAARAD,"
Shubhshree Biofuels Energy Ltd.,SHUBHSHREE,Miscellaneous,224.99,NSE,429.20,2.19,1,2025-03,8.38,224.52,2025-03,162.66,8.1,2025-03,27.78,,7.43,2,2025-03,0.28,26.73,28.59,"SHUBHSHREE,"
Rajputana Biodiesel Ltd.,RAJPUTANA,Miscellaneous,178.4,NSE,253.65,3.09,1,2025-03,14.03,190.87,2025-03,47.03,3.83,2025-03,46.61,,4.54,2,2025-03,0.34,21.51,21.14,"RAJPUTANA,"
PE Analytics Ltd.,PROPEQUITY,Miscellaneous,178.2,NSE,170.00,3.03,1,2025-09,,91.23,2025-03,24.49,11.95,2025-03,14.91,,2.09,2,2025-03,0,15.98,21.56,"PROPEQUITY,"
Shree OSFM E-Mobility Ltd.,SHREEOSFM,Miscellaneous,145.56,NSE,94.50,-3.67,1,2025-03,11.36,112.73,2025-03,138.04,10.35,2025-03,14.07,,1.9,1,2025-03,0.15,15.95,19.67,"SHREEOSFM,"
3rd Rock Multimedia Ltd.,3RDROCK,Miscellaneous,145.5,NSE,64.60,,1,2024-03,1.5,146.99,2024-03,4.85,-0.03,2024-03,0,,6.17,1,2014-03,0,7.6,11.7,"3RDROCK,"
Adtech Systems Ltd.,ADTECH,Miscellaneous,92.08,BSE,77.60,2.75,1,2025-06,,82.82,2025-06,46.57,4.6,2025-06,20,,1.77,1,2025-03,0,8.78,11.65,"ADTECH,"
Modipon Ltd.,MODIPON,Miscellaneous,46.65,BSE,40.30,-6.24,1,2025-06,45.13,91.74,2025-06,0,-0.56,2025-06,0,0,-0.51,1,2025-03,-0.49,0,0,"MODIPON,"
Triliance Polymers Ltd.,TRILIANCE,Miscellaneous,43.59,BSE,85.31,,1,2025-03,0.07,43.67,2025-06,0,0.3,2025-06,146.29,3.61,8.83,1,2024-03,0.03,-3.9,-3.82,"TRILIANCE,"
Kontor Space Ltd.,KONTOR,Miscellaneous,41.78,NSE,67.60,-7.40,1,2025-03,4.15,45.69,2025-03,19.75,4.12,2025-03,10.13,,1.9,1,2024-03,0.23,14.61,17.67,"KONTOR,"
