Sector: Non - Ferrous Metals,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Vedanta Ltd.,VEDL,Metal - Non Ferrous,201384.98,NSE,515.05,2.00,2,2025-09,83544,273697.98,2025-09,157262,17773,2025-09,16.76,0.52,5.02,2,2025-03,2.2,57.42,29.58,"VEDL,"
Hindustan Zinc Ltd.,HINDZINC,Metal - Non Ferrous,200512.51,NSE,474.50,1.56,2,2025-09,10701,211062.51,2025-09,34021,10564,2025-09,18.98,,14.64,2,2025-03,0.84,72.6,60.28,"HINDZINC,"
Hindalco Industries Ltd.,HINDALCO,Metal - Non Ferrous,177620.78,NSE,790.40,0.25,2,2025-09,72670,238012.78,2025-09,253570,17760,2025-09,10,0.3,1.32,2,2025-03,0.51,13.89,14.61,"HINDALCO,"
National Aluminium Company Ltd.,NATIONALUM,Aluminium & Aluminium Products,43059.83,NSE,234.73,1.80,2,2025-09,,35473.28,2025-09,18029.33,6158.3,2025-09,7.04,0.07,2.17,2,2025-03,0.01,32.73,44.12,"NATIONALUM,"
Hindustan Copper Ltd.,HINDCOPPER,Metal - Non Ferrous,32206.73,NSE,332.80,3.26,2,2025-03,166.47,32305.1,2025-06,2093.73,488.3,2025-06,66.27,2.88,11.52,2,2025-03,0.06,18.9,24,"HINDCOPPER,"
Jain Resource Recycling Ltd.,JAINREC,Metal - Non Ferrous,13315.14,NSE,385.85,1.79,2,2025-09,1289.2,13213.07,,,,2025-03,59.35,,5.11,2,2025-03,1.27,41.58,27.04,"JAINREC,"
Gravita India Ltd.,GRAVITA,Metal - Non Ferrous,12623.09,NSE,1710.80,0.41,2,2025-09,441.27,12829.91,2025-09,4108.93,362.01,2025-09,34.84,0.66,5.59,2,2025-03,0.14,21.53,21.95,"GRAVITA,"
Pondy Oxides & Chemicals Ltd.,POCL,Metal - Non Ferrous,4038.94,NSE,1297.50,-0.85,2,2025-09,36.58,3969.2,2025-09,2276.06,88.88,2025-09,45.44,,5.88,2,2025-03,0.19,12.7,15.68,"POCL,"
Shivalik Bimetal Controls Ltd.,SBCL,Metal - Non Ferrous,2870.99,NSE,498.45,5.74,2,2025-03,32.6,2824.55,2025-06,518.96,80.58,2025-06,35.01,0.83,6.71,2,2025-03,0.08,20.63,25.9,"SBCL,"
Ram Ratna Wires Ltd.,RAMRAT,Metal - Non Ferrous,2854.71,NSE,612.85,-0.81,2,2025-03,296.19,3127.07,2025-06,3767.68,70.77,2025-06,42.79,1.15,5.74,2,2025-03,0.62,15.52,21.19,"RAMRAT,"
Bharat Wire Ropes Ltd.,BHARATWIRE,Metal - Non Ferrous,1355.92,NSE,197.43,-1.04,1,2025-03,131.03,1477.59,2025-06,627.5,69.99,2025-06,19.37,,1.81,2,2024-03,0.2,15.81,18.71,"BHARATWIRE,"
Arfin India Ltd.,ARFIN,Aluminium & Aluminium Products,943.16,NSE,55.87,2.82,2,2025-03,116.92,1054.5,2025-03,615.75,9.15,2025-03,103.12,,5.98,2,2025-03,0.75,7.24,13.98,"ARFIN,"
Hardwyn India Ltd.,HARDWYN,Aluminium & Aluminium Products,761.47,NSE,15.72,6.87,2,2025-03,9.14,768.58,2025-06,186.62,13.53,2025-06,56.3,,1.92,2,2025-03,0.02,2.9,4.3,"HARDWYN,"
Maan Aluminium Ltd.,MAANALU,Aluminium & Aluminium Products,761.24,NSE,140.96,1.53,1,2025-03,89.58,850.42,2025-06,844.58,14.85,2025-06,51.26,3.31,4.2,1,2025-03,0.5,9.08,10.76,"MAANALU,"
Divine Power Energy Ltd.,DPEL,Metal - Non Ferrous,747.95,NSE,299.60,-2.00,1,2025-03,87.73,831.86,2025-03,341.67,9.15,2025-03,81.72,,7.3,1,2025-03,1.02,16.38,14.55,"DPEL,"
MMP Industries Ltd.,MMP,Aluminium & Aluminium Products,674.57,NSE,265.55,-5.06,2,2025-09,173.12,846.81,2025-09,762.49,16.47,2025-09,28.94,1.82,2.13,2,2025-03,0.48,12.7,14.23,"MMP,"
Pocl Enterprises Ltd.,POEL,Metal - Non Ferrous,666.7,BSE,217.00,-0.89,1,2025-03,104.55,763.01,2025-06,1458.84,37.4,2025-06,17.83,0.15,3.97,1,2025-03,1.07,37.56,32.7,"POEL,"
Onix Solar Energy Ltd.,ONIXSOLAR,Metal - Non Ferrous,618.1,BSE,301.50,-1.98,1,2025-03,,616.45,2025-06,74.32,2.42,2025-06,255.2,5.09,1.25,1,2024-03,0,5.51,6.53,"ONIXSOLAR,"
Baheti Recycling Industries Ltd.,BAHETI,Aluminium & Aluminium Products,581.67,NSE,561.00,0.45,1,2025-03,158.17,739.45,2025-03,524.31,18.01,2025-03,32.3,,9.84,1,2025-03,2.68,35.75,21.86,"BAHETI,"
Nile Ltd.,NILE,Metal - Non Ferrous,520.83,BSE,1735.00,-3.34,2,2025-03,21.82,541.79,2025-06,919.5,43.15,2025-06,12.07,0.44,1.86,2,2025-03,0.08,14.71,19.91,"NILE,"
Euro Panel Products Ltd.,EUROBOND,Aluminium & Aluminium Products,504.7,NSE,207.61,-0.16,1,2025-03,111.73,611.58,2025-03,423.19,18.43,2025-03,27.38,,3.63,1,2025-03,0.84,14.86,16.22,"EUROBOND,"
Bhagyanagar India Ltd.,BHAGYANGR,Metal - Non Ferrous,436.25,NSE,136.08,7.79,2,2025-09,368.73,801.29,2025-09,1914.35,27.41,2025-09,15.92,0.23,1.93,2,2025-03,1.33,7,9.17,"BHAGYANGR,"
ANB Metal Cast Ltd.,AMCL,Metal - Non Ferrous,360.37,NSE,304.50,4.64,1,2025-03,34.33,381.54,,,,2025-03,35.17,,4.3,1,2025-03,1.01,45.91,29.6,"AMCL,"
Shera Energy Ltd.,SHERA,Metal - Non Ferrous,325.04,NSE,133.00,0.76,2,2025-09,207.7,511.76,2025-03,1277.3,22.4,2025-03,14.51,,2.03,2,2025-03,1.21,17.21,19.26,"SHERA,"
Sunlite Recycling Industries Ltd.,SUNLITE,Metal - Non Ferrous,285.16,NSE,262.10,9.09,1,2025-09,23.23,308.18,2025-03,1396.71,14.27,2025-03,19.98,,4.75,1,2025-03,0.15,36.27,36.3,"SUNLITE,"
PG Foils Ltd.,PGFOILQ,Aluminium & Aluminium Products,260.85,BSE,220.00,-1.06,1,2025-03,50.51,294.73,2025-06,445.29,21.91,2025-06,11.9,2.02,0.75,1,2024-03,0.22,5.75,6.27,"PGFOILQ,"
Century Extrusions Ltd.,CENTEXT,Aluminium & Aluminium Products,219.12,NSE,27.46,-2.28,1,2025-03,49.18,251.74,2025-06,433.98,9.86,2025-06,22.22,1.02,2.57,1,2025-03,0.59,12.74,18.3,"CENTEXT,"
Jainik Power Cables Ltd.,JAINIK,Aluminium & Aluminium Products,198,NSE,138.00,1.10,1,2025-03,19.36,211.69,,,,2025-03,21.44,,2.61,1,2025-03,0.79,56.92,41.01,"JAINIK,"
Siyaram Recycling Industries Ltd.,SIYARAM,Metal - Non Ferrous,193.07,BSE,88.00,-7.36,1,2025-03,76.08,269.14,2025-03,511.56,14.57,2025-03,13.25,,1.57,1,2025-03,0.62,14.77,16.97,"SIYARAM,"
Rajputana Industries Ltd.,RAJINDLTD,Metal - Non Ferrous,188.38,NSE,84.80,-0.24,1,2025-09,51.49,237.08,2025-03,552.41,8.27,2025-03,22.78,,2.81,1,2025-03,0.81,17.09,18.08,"RAJINDLTD,"
Manaksia Aluminium Company Ltd.,MANAKALUCO,Aluminium & Aluminium Products,182.91,NSE,27.02,-1.06,1,2025-03,239.02,400.91,2025-06,561.84,6.89,2025-06,26.55,38.47,1.34,1,2025-03,1.77,4.56,10.52,"MANAKALUCO,"
Sharvaya Metals Ltd.,SHARVAYA,Aluminium & Aluminium Products,180.74,BSE,182.50,6.26,1,2025-03,14.97,195.64,,,,2025-03,14.45,,2.52,1,2025-03,0.66,82.28,66.27,"SHARVAYA,"
Baroda Extrusion Ltd.,BAROEXT,Metal - Non Ferrous,159.59,BSE,8.15,2.00,1,2025-03,26.37,185.45,2025-06,164.05,20.46,2025-06,7.8,0.46,8.59,1,2024-03,-1.51,0,-6.18,"BAROEXT,"
Cubex Tubings Ltd.,CUBEXTUB,Metal - Non Ferrous,130.57,NSE,91.76,1.33,1,2025-03,33.45,162.13,2025-06,263.24,6.98,2025-06,18.71,0.26,1.69,1,2025-03,0.44,9.19,10.92,"CUBEXTUB,"
Madhav Copper Ltd.,MCL,Metal - Non Ferrous,130.42,NSE,48.05,2.80,1,2025-03,26.19,156.32,2025-06,146.3,4.61,2025-06,28.31,42.25,2.79,1,2024-03,0.32,3.04,3.84,"MCL,"
Rajnandini Metal Ltd.,RAJMET,Metal - Non Ferrous,119.72,NSE,4.33,-0.69,1,2025-03,44.33,163.47,2025-06,792.85,-2.74,2025-06,0,,2.2,1,2024-03,1.77,31.06,21.26,"RAJMET,"
Parmeshwar Metal Ltd.,PARMESHWAR,Metal - Non Ferrous,103.32,BSE,67.50,-3.30,1,2025-03,11.2,106.43,2025-03,1382.43,10.98,2025-03,9.41,,1.46,1,2025-03,0.16,20.31,23.9,"PARMESHWAR,"
Mardia Samyoung Capillary Tubes Co Ltd.,MSCTC,Metal - Non Ferrous,85.9,BSE,123.40,1.98,1,2025-03,0,85.9,2025-06,0.01,-1.76,2025-06,0,,76.34,1,2025-03,0,158.95,102.52,"MSCTC,"
Shalimar Wires Industries Ltd.,SHALIWIR,Metal - Non Ferrous,82.18,BSE,19.22,-0.88,1,2025-03,89.26,164.76,2025-06,130.84,2.54,2025-06,32.33,1.54,2.15,1,2025-03,2.4,6.52,12.39,"SHALIWIR,"
Sudal Industries Ltd.,SUDAI,Aluminium & Aluminium Products,78.16,BSE,93.40,3.69,1,2025-03,21.45,97.36,2025-06,162.01,4.34,2025-06,18,1.04,3.09,1,2024-03,1.15,0,0,"SUDAI,"
Bonlon Industries Ltd.,BONLON,Metal - Non Ferrous,70.21,BSE,49.50,1.00,2,2025-03,30.63,70.95,2025-03,623.1,2.68,2025-03,26.16,-1.01,0.83,1,2024-03,0.38,3,4.57,"BONLON,"
Sampat Aluminium Ltd.,SAMPAT,Aluminium & Aluminium Products,62.25,BSE,73.40,-3.67,1,2025-03,23.57,85.58,,,,2025-03,8.98,,1.17,1,2025-03,1.05,42.68,28.71,"SAMPAT,"
Palco Metals Ltd.,PALCO,Aluminium & Aluminium Products,61.6,BSE,154.00,5.19,2,2025-03,35.89,96.78,2025-06,242.36,4.09,2025-06,15.05,0.18,5.19,2,2024-03,1.9,29.25,16.33,"PALCO,"
Sacheta Metals Ltd.,SACHEMT,Aluminium & Aluminium Products,56.25,BSE,4.50,-2.39,1,2025-09,20.8,71.89,2025-09,92.9,2.16,2025-09,26.04,2.5,1.08,1,2025-03,0.37,4.13,6.02,"SACHEMT,"
Sagardeep Alloys Ltd.,SAGARDEEP,Metal - Non Ferrous,47.76,NSE,28.00,-2.41,2,2025-03,5.76,53.29,2025-06,130.12,2.03,2025-06,23.47,0.44,1.54,2,2024-03,0.43,2.79,5.55,"SAGARDEEP,"
Precision Metaliks Ltd.,PRECISION,Metal - Non Ferrous,45.34,NSE,19.75,,1,2025-03,39.39,43.5,2025-03,127.13,0.8,2025-03,57.1,,0.52,1,2025-03,0.45,0.91,3.6,"PRECISION,"
Hind Aluminium Industries Ltd.,HINDALUMI,Aluminium & Aluminium Products,40.2,BSE,64.50,-0.37,2,2025-03,0,37.66,2025-06,3.88,-1.3,2025-06,4.49,0.19,0.47,2,2025-03,0,-2.8,0.75,"HINDALUMI,"
Southern Magnesium & Chemicals Ltd.,SOUTHMG,Metal - Non Ferrous,36.9,BSE,123.00,1.03,1,2025-03,3.29,34.05,2025-06,6.7,1.32,2025-06,27.91,0.38,2.88,1,2025-03,0.26,28.24,31.14,"SOUTHMG,"
Krupalu Metals Ltd.,KRUPALU,Metal - Non Ferrous,36.07,BSE,60.50,-1.51,1,2025-03,8.37,44.17,,,,2025-03,16.77,,1.84,1,2025-03,1.37,42.22,26.52,"KRUPALU,"
Poojawestern Metaliks Ltd.,POOJA,Metal - Non Ferrous,32.95,BSE,33.00,0.03,2,2025-03,21.07,53.96,2025-06,55,1.74,2025-06,18.92,1.25,2.35,2,2025-03,1.55,11.69,10.87,"POOJA,"
Nirav Commercials Ltd.,NIRAVCOM,Aluminium & Aluminium Products,26.97,BSE,687.00,-2.25,1,2025-03,0.79,27.67,2025-06,13.26,-0.05,2025-06,0,0,0.89,1,2025-03,0.03,0.14,0.9,"NIRAVCOM,"
Om Metallogic Ltd.,OML,Aluminium & Aluminium Products,24,BSE,30.78,1.32,1,2025-03,10.35,33.95,,,,2025-03,5.83,,0.7,1,2025-03,0.88,42.37,31.27,"OML,"
