Sector: Paper,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
JK Paper Ltd.,JKPAPER,Paper & Paper Products,6557.56,NSE,386.85,0.65,2,2025-09,1967.39,8485.29,2025-09,6744.18,305.65,2025-09,22.04,-7.55,1.2,2,2025-03,0.33,7.86,9.79,"JKPAPER,"
String Metaverse Ltd.,META,Paper & Paper Products,3394.58,BSE,291.55,,2,2025-09,0.14,3362.07,2025-09,700.9,63.05,2025-09,54.34,0.36,13.34,2,2025-03,0,26.09,26.04,"META,"
West Coast Paper Mills Ltd.,WSTCSTPAPR,Paper & Paper Products,2981.78,NSE,451.35,0.23,2,2025-03,433.36,3382.54,2025-06,4056.6,274.39,2025-06,11.85,-3.45,0.84,2,2025-03,0.12,9.98,12.98,"WSTCSTPAPR,"
Seshasayee Paper and Boards Ltd.,SESHAPAPER,Paper & Paper Products,1589.63,NSE,251.85,-0.57,2,2025-09,76.75,1121.87,2025-09,1665.4,75.49,2025-09,19.5,-2.01,0.79,2,2025-03,0.04,5.6,7.04,"SESHAPAPER,"
Andhra Paper Ltd.,ANDHRAPAP,Paper & Paper Products,1465.13,NSE,73.64,-3.89,1,2025-09,253.58,1708.06,2025-09,1548.57,20.54,2025-09,71.32,-4.45,0.76,1,2025-03,0.14,4.64,6.4,"ANDHRAPAP,"
Pudumjee Paper Products Ltd.,PDMJEPAPER,Paper & Paper Products,1085.75,NSE,114.33,-0.59,1,2025-03,11.13,1058.91,2025-06,802.69,104.43,2025-06,10.4,0.36,1.75,1,2025-03,0.02,17.81,23.92,"PDMJEPAPER,"
Tamil Nadu Newsprint & Papers Ltd.,TNPL,Paper & Paper Products,1035.39,NSE,149.44,-1.24,1,2025-09,1860.99,2877.88,2025-09,4714.75,-20.08,2025-09,0,0,0.5,1,2025-03,0.76,0.18,5.85,"TNPL,"
Kuantum Papers Ltd.,KUANTUM,Paper & Paper Products,904.05,NSE,102.52,0.94,1,2025-09,677.66,1568.47,2025-09,1050.05,64.92,2025-09,13.93,1.41,0.75,1,2025-03,0.54,9.86,11.17,"KUANTUM,"
Soma Papers & Industries Ltd.,SOMAPPR,Paper & Paper Products,872.19,BSE,75.53,,1,2025-03,0.23,872.23,2025-06,0,-0.18,2025-06,0,0,7.64,1,2025-03,5.95,-143.06,-70.42,"SOMAPPR,"
NR Agarwal Industries Ltd.,NRAIL,Paper & Paper Products,759.99,NSE,446.55,-2.51,1,2025-03,621.09,1379.36,2025-06,1764.2,30.8,2025-06,24.68,-0.78,0.96,1,2025-03,0.8,2.3,5.68,"NRAIL,"
