Sector: Plastic Products,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Supreme Industries Ltd.,SUPREMEIND,Plastic Products,48681.78,NSE,3831.20,-0.36,2,2025-09,239.84,48623.05,2025-09,10540.03,753.18,2025-09,57.41,3.7,8.51,2,2025-03,0,17.84,23.23,"SUPREMEIND,"
Astral Ltd.,ASTRAL,Plastic Products,41819.43,NSE,1557.30,-0.56,2,2025-09,155,41424.63,2025-09,6017,504.7,2025-09,82.11,5.09,11.08,2,2025-03,0.04,15.26,21.12,"ASTRAL,"
Finolex Industries Ltd.,FINPIPE,Plastic Products,11491.23,NSE,185.26,1.63,2,2025-09,10.12,11422.3,2025-09,4074.94,427.89,2025-09,23.92,3.07,1.94,2,2025-03,0.04,13.64,17.4,"FINPIPE,"
Shaily Engineering Plastics Ltd.,SHAILY,Plastic Products,11359.87,NSE,2475.90,4.07,2,2025-09,189.07,11523.65,2025-09,918.75,146.16,2025-09,77.72,,19.36,2,2025-03,0.34,18.56,19.55,"SHAILY,"
Time Technoplast Ltd.,TIMETECHNO,Plastic Products,9533.29,NSE,209.64,0.24,2,2025-03,646.51,10001.93,2025-06,5579.65,410.53,2025-06,23.61,1.31,3.17,2,2025-03,0.22,14.5,18.16,"TIMETECHNO,"
Garware Hi-Tech Films Ltd.,GRWRHITECH,Plastic Products,7913.19,NSE,3403.80,1.86,2,2025-03,15.21,7807.92,2025-06,2129.88,325.89,2025-06,24.28,0.78,3.22,2,2025-03,0.01,15,20.41,"GRWRHITECH,"
Kingfa Science & Technology (India) Ltd.,KINGFA,Plastic Products,6051.17,NSE,4473.50,-0.90,1,2025-03,39.14,6066.65,2025-06,1790.19,153.57,2025-06,39.4,0.89,4.77,1,2025-03,0.05,23.21,30.7,"KINGFA,"
Responsive Industries Ltd.,RESPONIND,Plastic Products,5308.18,NSE,199.14,-0.41,2,2025-03,250.37,5541.75,2025-06,1436.72,200.35,2025-06,26.49,0.51,3.8,2,2025-03,0.19,16.02,15.91,"RESPONIND,"
Uflex Ltd.,UFLEX,Plastic Products,3816.38,NSE,529.10,-0.49,2,2025-03,8115.96,10778.79,2025-06,15282.9,308.82,2025-06,12.77,-1.68,0.51,2,2025-03,1.1,1.95,6.43,"UFLEX,"
Jain Irrigation Systems Ltd.,JISLJALEQS,Plastic Products,3523.74,NSE,49.23,1.15,2,2025-09,3884.45,7324.26,2025-09,6087.49,55.47,2025-09,59.6,3.87,0.6,2,2025-03,0.68,0.47,5.11,"JISLJALEQS,"
