Sector: Power,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
NTPC Ltd.,NTPC,Power Generation/Distribution,316256.77,NSE,326.10,-0.17,2,2025-09,252196.58,560502.47,2025-09,186737.7,16616.56,2025-09,13.32,0.88,1.65,2,2025-03,1.35,13.89,10.99,"NTPC,"
Adani Power Ltd.,ADANIPOWER,Power Generation/Distribution,292163.12,NSE,151.48,-1.10,2,2025-09,47253.69,329125.77,2025-09,55474.57,11750.89,2025-09,24.28,0.37,5,2,2025-03,0.68,25.63,22.87,"ADANIPOWER,"
Power Grid Corporation Of India Ltd.,POWERGRID,Power Generation/Distribution,252976.42,NSE,272.00,0.67,2,2025-09,135922.87,380072.93,2025-09,46180.55,14515.99,2025-09,16.64,2.37,2.56,2,2025-03,1.41,17.26,12.89,"POWERGRID,"
Adani Green Energy Ltd.,ADANIGREEN,Power Generation/Distribution,174625.38,NSE,1059.80,-0.07,2,2025-09,85997,256429.38,2025-09,12237,1928,2025-09,86.53,1.65,8.94,2,2025-03,9.49,26.23,9.75,"ADANIGREEN,"
Tata Power Company Ltd.,TATAPOWER,Power Generation/Distribution,125704.66,NSE,393.20,0.37,2,2025-03,58145.56,172099.24,2025-06,66219.68,4215.49,2025-06,30.96,0.88,3.4,2,2025-03,1.62,14.01,12.54,"TATAPOWER,"
Adani Energy Solutions Ltd.,ADANIENSOL,Power Generation/Distribution,115299.11,NSE,960.60,-0.78,2,2025-09,45373.65,155767.53,2025-09,25619.95,2411.14,2025-09,51.12,2,4.93,2,2025-03,1.82,5.31,7.74,"ADANIENSOL,"
JSW Energy Ltd.,JSWENERGY,Power Generation/Distribution,90840.27,NSE,519.15,0.35,2,2025-09,68140.7,154006.46,2025-09,15949.06,2216.6,2025-09,44.89,3.35,3.12,2,2025-03,1.82,8.27,6.94,"JSWENERGY,"
NTPC Green Energy Ltd.,NTPCGREEN,Power Generation/Distribution,83420.66,NSE,98.96,-0.67,2,2025-09,20329.35,103470.39,2025-09,2419.85,571.69,2025-09,137.45,,4.45,2,2025-03,0.99,3.84,5.09,"NTPCGREEN,"
NHPC Ltd.,NHPC,Power Generation/Distribution,81836.9,NSE,81.48,-1.65,2,2025-09,44796.24,123584.92,2025-09,11212.76,3144.21,2025-09,25.81,31.09,1.98,2,2025-03,0.99,8.71,7.93,"NHPC,"
Torrent Power Ltd.,TORNTPOWER,Power Generation/Distribution,64577.76,NSE,1281.20,0.63,2,2025-03,8736.68,72934.44,2025-06,28037.9,2803.85,2025-06,23.5,-5.93,3.52,2,2025-03,0.5,20.61,17.19,"TORNTPOWER,"
NLC India Ltd.,NLCINDIA,Power Generation/Distribution,35754.42,NSE,258.25,-0.65,2,2025-09,24327.78,59339.59,2025-09,16251.43,2728.19,2025-09,13.68,1.12,1.79,2,2025-03,1.2,15.39,11.57,"NLCINDIA,"
SJVN Ltd.,SJVN,Power Generation/Distribution,33356.1,NSE,84.85,-1.26,2,2025-03,26925.37,56910,2025-06,3119.09,710.91,2025-06,48.32,-3.96,2.31,2,2025-03,1.9,5.79,4.88,"SJVN,"
CESC Ltd.,CESC,Power Generation/Distribution,23157.72,NSE,174.75,-0.48,2,2025-09,18513,37149.72,2025-09,17907,1516,2025-09,15.97,10.24,1.82,2,2025-03,1.48,12.18,11.75,"CESC,"
Nava Ltd.,NAVA,Power Generation/Distribution,16242.86,NSE,573.10,-3.74,2,2025-09,1590.73,16047.58,2025-09,4017.66,1236.87,2025-09,17.61,0.78,2,2,2025-03,0.12,19.78,20.67,"NAVA,"
Reliance Power Ltd.,RPOWER,Power Generation/Distribution,16228.77,NSE,39.19,-4.58,2,2025-03,15153.08,30408.48,2025-06,7476.24,3090.35,2025-06,5.25,,1.08,2,2025-03,1.04,22.53,16.81,"RPOWER,"
Acme Solar Holdings Ltd.,ACMESOLAR,Power Generation/Distribution,16070.37,NSE,265.10,-1.49,2,2025-09,12313.99,24993.14,2025-09,1814.63,480.02,2025-09,33.39,,3.36,2,2025-03,2.32,7.09,8.53,"ACMESOLAR,"
Indian Energy Exchange Ltd.,IEX,Power Generation/Distribution,12385.61,NSE,138.96,0.59,2,2025-09,,12310.79,2025-09,569.98,449.07,2025-09,26.44,1.35,9.92,2,2025-03,0,41.37,53.8,"IEX,"
Waaree Renewable Technologies Ltd.,WAAREERTL,Power Generation/Distribution,12320.38,NSE,1180.60,-0.07,2,2025-09,25.78,12151.6,2025-09,2214.89,349.98,2025-09,35.2,0.26,18.72,2,2025-03,0.06,65.52,81.92,"WAAREERTL,"
Jaiprakash Power Ventures Ltd.,JPPOWER,Power Generation/Distribution,12062.09,NSE,17.61,-0.45,2,2025-09,3507.45,13412.71,2025-09,5502.54,742.58,2025-09,16.24,0.41,0.95,2,2025-03,0.31,10.08,10.26,"JPPOWER,"
