Sector: Retailing,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Avenue Supermarts Ltd.,DMART,Retailing,261035.06,NSE,4011.00,-1.74,2,2025-09,265,261090.21,2025-09,63880.41,2731.99,2025-09,95.53,6.05,11.4,2,2025-03,0,13.53,18.65,"DMART,"
Trent Ltd.,TRENT,Retailing,164407.62,NSE,4627.30,-1.11,2,2025-09,499.54,164712.1,2025-09,18574.66,1573.02,2025-09,101.36,1.54,26.95,2,2025-03,0.09,32.2,42.36,"TRENT,"
Vishal Mega Mart Ltd.,VMM,Retailing,66842.98,NSE,143.18,1.55,2,2025-03,0,66379.32,2025-03,10716.34,631.97,2025-03,105.77,,10.11,2,2025-03,0,10.62,17.13,"VMM,"
Metro Brands Ltd.,METROBRAND,Footwear,30565.3,NSE,1123.20,-0.45,2,2025-09,,30456.45,2025-09,2625.24,356.16,2025-09,85.97,,16.82,2,2025-03,0,20.1,33.25,"METROBRAND,"
Aditya Birla Lifestyle Brands Ltd.,ABLBL,Retailing,15921.47,NSE,130.45,-1.49,2,2025-09,1275.31,17042.88,,,,2025-03,267.14,,12.15,2,2025-03,64.42,403.25,22.29,"ABLBL,"
Bata India Ltd.,BATAINDIA,Footwear,13656.69,NSE,1061.90,1.07,2,2025-09,,13113.23,2025-09,3450.2,170.51,2025-09,80.09,-12.34,8.96,2,2025-03,0,21.32,36.57,"BATAINDIA,"
Relaxo Footwears Ltd.,RELAXO,Footwear,10742.94,NSE,431.45,-1.36,1,2025-03,0,10700.88,2025-06,2695.91,174.86,2025-06,61.44,-11.13,5,1,2025-03,0,8.32,12.31,"RELAXO,"
Aditya Birla Fashion and Retail Ltd.,ABFRL,Retailing,9729.99,NSE,79.70,2.07,2,2025-09,1715.93,10775.12,2025-09,9837.29,-704.98,2025-09,0,,1.56,2,2025-03,0.21,-11.65,-1.35,"ABFRL,"
Medplus Health Services Ltd.,MEDPLUS,Retailing,9436.03,NSE,787.35,0.29,2,2025-09,,8934.12,2025-09,6293.02,195.04,2025-09,48.37,,5.11,2,2025-03,0,9.21,18.22,"MEDPLUS,"
Campus Activewear Ltd.,CAMPUS,Footwear,8489.07,NSE,276.80,2.03,1,2025-03,0,8464.56,2025-06,1597.07,118,2025-06,71.94,,10.97,1,2025-03,0,17.31,25.51,"CAMPUS,"
