Sector: Telecom,
Date: 09-Nov-2025,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: signshailesh@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),Exchange,LTP,Chg%,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Bharti Airtel Ltd.,BHARTIARTL,Telecommunication - Service  Provider,1219548.98,NSE,2001.20,-4.47,2,2025-09,139947.9,1340512.98,2025-09,194613.5,42801.8,2025-09,31.64,0.53,10.34,2,2025-03,1.31,38.4,24.26,"BHARTIARTL,"
Indus Towers Ltd.,INDUSTOWER,Telecommunication - Service  Provider,105816.71,NSE,400.80,0.63,2,2025-09,1480.6,105768.41,2025-09,31520.3,9358.4,2025-09,11.31,0.46,2.93,2,2025-03,0.07,33.38,45.41,"INDUSTOWER,"
Vodafone Idea Ltd.,IDEA,Telecommunication - Service  Provider,104117.66,NSE,9.61,3.67,2,2025-03,196296.2,289845.36,2025-06,44085.5,-27561.1,2025-06,0,0,-1.35,2,2025-03,-1.83,0,-2.46,"IDEA,"
Bharti Hexacom Ltd.,BHARTIHEXA,Telecommunication - Service  Provider,87837.5,NSE,1761.80,-2.87,1,2025-09,3126.4,90915.8,2025-09,9120,1542.1,2025-09,56.96,,14.07,1,2025-03,0.64,28.26,26.03,"BHARTIHEXA,"
Tata Communications Ltd.,TATACOMM,Telecommunication - Service  Provider,52719.3,NSE,1849.40,0.40,2,2025-09,11771.97,64163.84,2025-09,23848.02,1380.71,2025-09,31.96,0.74,18.51,2,2025-03,3.64,66.38,21.69,"TATACOMM,"
ITI Ltd.,ITI,Telecommunication - Equipment,30229.5,NSE,314.55,-0.41,2,2025-03,1480.67,31288.07,2025-06,3594.45,-205.4,2025-06,0,,20.12,2,2025-03,0.95,-12.83,0.28,"ITI,"
Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication - Service  Provider,11289.01,NSE,351.65,-0.80,1,2025-09,,11019.58,2025-09,3771.07,320.67,2025-09,35.2,2.83,5.34,1,2025-03,0,15.67,21.67,"RAILTEL,"
HFCL Ltd.,HFCL,Telecom-Infrastructure,10801.29,NSE,74.87,0.24,2,2025-09,1551.67,12016.42,2025-09,3727.03,32.36,2025-09,388.26,-80.38,2.61,2,2025-03,0.37,4.32,7.64,"HFCL,"
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication - Service  Provider,10648.49,NSE,54.45,-0.18,1,2025-09,20445.34,31088.94,2025-09,1211.42,-1267.33,2025-09,0,0,-0.53,1,2025-03,-1.04,0,56.84,"TTML,"
Tejas Networks Ltd.,TEJASNET,Telecommunication - Equipment,9256.73,NSE,522.30,-1.36,2,2025-09,4155.81,13351.28,2025-09,5012.98,-407.13,2025-09,0,0,2.79,2,2025-03,0.88,13.31,15.82,"TEJASNET,"
Black Box Ltd.,BBOX,Telecommunication - Equipment,9210.35,NSE,543.05,1.02,2,2025-03,653.67,9634.66,2025-06,5930.27,214.8,2025-06,42.81,2.54,12.38,2,2025-03,0.97,35.5,31.13,"BBOX,"
